Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Minoan civilization,-1600,-1501,5498.973154411347,POLITY,Minoan civilization,,gr_crete_new_palace,,,24.8412,35.2341
Elam,-1600,-1401,79387.24858399249,POLITY,Elam,,ir_elam_4,,,49.9695,30.957
Hittites,-1600,-1501,58875.38901938828,POLITY,Hittites,,tr_hatti_old_k,,,36.1095,38.6157
Shang Dynasty,-1600,-1241,154175.18097786023,POLITY,Shang dynasty,,cn_erligang,,,115.1969,36.3879
First Sealand Dynasty,-1600,-1501,13100.583986038693,POLITY,First Sealand dynasty,,,,,47.3366,30.3305
Hyksos,-1600,-1501,134310.80436919798,POLITY,Hyksos,,,,,34.515,31.1332
Hittites,-1500,-1401,57838.25350770177,POLITY,Hittites,,tr_hatti_old_k,,,36.0917,38.6351
First Sealand Dynasty,-1500,-1401,15392.040567171154,POLITY,First Sealand dynasty,,,,,47.4275,30.2944
Mitanni,-1500,-1401,189149.06227042546,POLITY,Mitanni,,,,,39.6359,36.1279
Mycenaean Greece,-1500,-1401,44116.54739779202,POLITY,Mycenaean Greece,,,,,22.6183,38.1574
Hyksos,-1500,-1401,66424.82690687537,POLITY,Hyksos,,,,,35.796,32.4978
Assyria,-1500,-1401,35815.68627026095,POLITY,Assyria,,iq_old_assyrian_emp,,,44.5758,35.2778
Minoan civilization,-1500,-1401,5498.973154411347,POLITY,Minoan civilization,,gr_crete_new_palace,,,24.8412,35.2341
New Kingdom of Egypt,-1500,-1401,635841.4681346857,POLITY,New Kingdom of Egypt,,eg_new_k_1,,,31.3054,25.9379
Babylonia,-1500,-1401,119373.26682198912,POLITY,Babylonia,,iq_babylonia_2,,,46.1515,32.1344
Mycenaean Greece,-1400,-1301,54879.05652843898,POLITY,Mycenaean Greece,,,,,23.2319,37.8017
Mitanni,-1400,-1301,181413.012357848,POLITY,Mitanni,,sy_mitanni_k,,,39.6773,36.1455
Hittites,-1400,-1301,167243.93422333046,POLITY,Hittites,,tr_hatti_new_k,,,34.4619,38.2421
Assyria,-1400,-1301,34429.08876087263,POLITY,Assyria,,iq_old_assyrian_emp,,,44.5744,35.3042
Elam,-1400,-1301,82020.84259681888,POLITY,Elam,,ir_elam_5,,,49.9554,30.9333
Babylonia,-1400,-1301,226665.63242661452,POLITY,Babylonia,,iq_babylonia_2,,,45.2207,32.6504
New Kingdom of Egypt,-1400,-1301,708712.3715466588,POLITY,New Kingdom of Egypt,,eg_new_k_1,,,31.799,26.6885
Mycenaean Greece,-1300,-1241,54830.22556797873,POLITY,Mycenaean Greece,,,,,23.232,37.8005
Mitanni,-1300,-1241,48909.497891413164,POLITY,Mitanni,,sy_mitanni_k,,,38.6997,36.4029
Hittites,-1300,-1241,321568.31988010247,POLITY,Hittites,,tr_hatti_new_k,,,34.4017,38.1247
Assyria,-1300,-1241,194998.56960458605,POLITY,Assyria,,iq_middle_assyrian_emp,,,42.4786,35.1797
Elam,-1300,-1151,82020.84259681888,POLITY,Elam,,ir_elam_6,,,49.9554,30.9333
Babylonia,-1300,-1241,155240.02831157687,POLITY,Babylonia,,iq_babylonia_2,,,46.3793,31.9612
New Kingdom of Egypt,-1300,-1241,700479.5524647356,POLITY,New Kingdom of Egypt,,eg_new_k_1,,,31.7428,26.5713
New Kingdom of Egypt,-1240,-1151,700479.5524647356,POLITY,New Kingdom of Egypt,,eg_new_k_2,,,31.7428,26.5713
Babylonia,-1240,-1221,134476.51465130545,POLITY,Babylonia,,iq_babylonia_2,,,46.5542,31.6814
Shang Dynasty,-1240,-1101,154175.18097786023,POLITY,Shang dynasty,,cn_late_shang_dyn,,,115.1969,36.3879
Hittites,-1240,-1221,320454.91477990034,POLITY,Hittites,,tr_hatti_new_k,,,34.3908,38.1207
Mycenaean Greece,-1240,-1221,68626.15496396995,POLITY,Mycenaean Greece,,,,,23.1947,38.18
Assyria,-1240,-1221,445830.5749350426,POLITY,Assyria,,iq_middle_assyrian_emp,,,41.9349,36.6215
Assyria,-1220,-1201,599452.3897006694,POLITY,Assyria,,iq_middle_assyrian_emp,,,42.7754,35.5528
Hittites,-1220,-1201,300838.51591230277,POLITY,Hittites,,tr_hatti_new_k,,,34.2014,38.2396
Mycenaean Greece,-1220,-1201,69485.35171118377,POLITY,Mycenaean Greece,,,,,23.2141,38.1812
Hittites,-1200,-1151,300838.51591230277,POLITY,Hittites,,tr_hatti_new_k,,,34.2014,38.2396
Mycenaean Greece,-1200,-1151,69436.52075072352,POLITY,Mycenaean Greece,,,,,23.2141,38.1805
Assyria,-1200,-1151,467281.9910773737,POLITY,Assyria,,iq_middle_assyrian_emp,,,41.7515,36.5929
Babylonia,-1200,-1151,132817.80557995464,POLITY,Babylonia,,iq_babylonia_2,,,46.5813,31.6645
New Kingdom of Egypt,-1150,-1001,635995.8971432227,POLITY,New Kingdom of Egypt,,eg_new_k_2,,,31.3061,25.938
Elam,-1150,-1101,215099.6766629462,POLITY,Elam,,ir_elam_7,,,47.866,31.3852
Assyria,-1150,-1101,539102.2662862024,POLITY,Assyria,,iq_middle_assyrian_emp,,,41.1437,36.7511
Phoenicia,-1150,-1001,12354.262132582844,POLITY,Phoenicia,,lb_phoenician_emp,,,35.9318,34.3914
Mycenaean Greece,-1150,-1101,56718.45191880738,POLITY,Mycenaean Greece,,,,,22.9137,37.8839
Philistia,-1150,-1001,10915.803521295597,POLITY,Philistia,,,,,34.9955,32.0884
Babylonia,-1100,-1001,132817.80557995464,POLITY,Babylonia,,iq_isin_dynasty2,,,46.5813,31.6645
Greek Dark Ages,-1100,-1001,47688.20840108766,POLITY,Greek Dark Ages,,,,,23.322,37.6715
Elam,-1100,-1001,82020.84259681888,POLITY,Elam,,ir_elam_7,,,49.9554,30.9333
Assyria,-1100,-1001,538854.0930560814,POLITY,Assyria,,iq_middle_assyrian_emp,,,41.1466,36.7511
Shang Dynasty,-1100,-1001,154175.18097786023,POLITY,Shang dynasty,,cn_late_shang_dyn,,,115.1969,36.3879
Zhou Dynasty,-1000,-801,699623.2872120326,POLITY,Zhou dynasty,,cn_western_zhou_dyn,,,115.8664,35.3415
Babylonia,-1000,-901,25191.50066838468,POLITY,Babylonia,,iq_bazi_dyn,,,44.728,32.156
New Kingdom of Egypt,-1000,-901,340593.2203858999,POLITY,New Kingdom of Egypt,,,,,30.8116,27.3128
Kingdom of Israel,-1000,-901,20071.78009240728,POLITY,Kingdom of Israel (united monarchy),,il_yisrael,,,35.7084,32.1623
Greek Dark Ages,-1000,-901,59174.52233582491,POLITY,Greek Dark Ages,,,,,25.195,37.1858
Elam,-1000,-901,19287.536261736735,POLITY,Elam,,ir_elam_8,,,48.4206,32.2953
Assyria,-1000,-901,25472.95122412223,POLITY,Assyria,,iq_middle_assyrian_emp,,,44.0685,35.5581
Phoenicia,-1000,-901,12907.76489102426,POLITY,Phoenicia,,lb_phoenician_emp,,,35.9442,34.4284
Kingdom of Kush,-1000,-801,336378.9717993974,POLITY,Kingdom of Kush,,,,,32.8147,19.3984
Philistia,-1000,-901,7583.376902916649,POLITY,Philistia,,,,,34.8656,31.9895
Greek Dark Ages,-900,-801,59174.52233582491,POLITY,Greek Dark Ages,,,,,25.195,37.1858
New Kingdom of Egypt,-900,-801,340593.2203858999,POLITY,New Kingdom of Egypt,,,,,30.8116,27.3128
Kingdom of Judah,-900,-801,3632.3319832969432,POLITY,Kingdom of Judah,,,,,35.231,31.6395
Phoenicia,-900,-801,14882.981269209304,POLITY,Phoenicia,,lb_phoenician_emp,,,33.0406,34.384
Elam,-900,-801,46249.980510055764,POLITY,Elam,,ir_elam_8,,,49.2109,31.6423
Kingdom of Israel,-900,-801,13720.977470689551,POLITY,Kingdom of Israel (united monarchy),,il_yisrael,,,35.5717,32.5529
