Name,FromYear,ToYear,Area,Type,Wikipedia,Wikidata,SeshatID,Components,MemberOf,CentroidLon,CentroidLat
Seventeenth Dynasty of Egypt,-1600,-1501,34736.888615572316,POLITY,Seventeenth Dynasty of Egypt,Q642301,eg_thebes_hyksos,,,32.4534,26.1077
Babylonia,-1600,-1501,126674.71669401185,POLITY,Babylonia,Q47690,iq_babylonia_1,,,46.0841,32.2412
Sixteenth Dynasty of Egypt,-1600,-1501,24578.44282569545,POLITY,Sixteenth Dynasty of Egypt,Q737695,eg_thebes_hyksos,,,31.7924,30.3426
Minoan civilization,-1600,-1501,5498.973154,POLITY,Minoan civilization,Q134178,gr_crete_new_palace,,,24.8412,35.2341
Elam,-1600,-1401,79387.24858399261,POLITY,Elam,Q128904,ir_elam_4,,,49.9695,30.957
Hittites,-1600,-1501,58875.389019388276,POLITY,Hittites,Q5406,tr_hatti_old_k,,,36.1095,38.6157
Shang Dynasty,-1600,-1241,154175.1809778602,POLITY,Shang dynasty,Q128938,cn_erligang,,,115.1969,36.3879
First Sealand Dynasty,-1600,-1501,13100.583986038713,POLITY,First Sealand dynasty,Q7440601,,,,47.3366,30.3305
Hyksos,-1600,-1501,134166.97549460095,POLITY,Hyksos,Q192319,,,,34.5109,31.133
Hittites,-1500,-1401,57838.25350770176,POLITY,Hittites,Q5406,tr_hatti_old_k,,,36.0917,38.6351
First Sealand Dynasty,-1500,-1401,15392.040567171154,POLITY,First Sealand dynasty,Q7440601,,,,47.4275,30.2944
Mitanni,-1500,-1401,189149.06227042567,POLITY,Mitanni,Q178665,,,,39.6359,36.1279
Mycenaean Greece,-1500,-1401,45664.03809307217,POLITY,Mycenaean Greece,Q181264,,,,22.62,38.1582
Hyksos,-1500,-1401,66526.81902757405,POLITY,Hyksos,Q192319,,,,35.7951,32.4987
Assyria,-1500,-1401,35815.68627,POLITY,Assyria,Q41137,,,,44.5758,35.2778
Minoan civilization,-1500,-1401,5498.973154,POLITY,Minoan civilization,Q134178,gr_crete_new_palace,,,24.8412,35.2341
New Kingdom of Egypt,-1500,-1401,635841.4681346857,POLITY,New Kingdom of Egypt,Q180568,eg_new_k_1,,,31.3054,25.9379
Babylonia,-1500,-1401,119373.26682198902,POLITY,Babylonia,Q47690,iq_babylonia_2,,,46.1515,32.1344
Mycenaean Greece,-1400,-1301,56426.54722371916,POLITY,Mycenaean Greece,Q181264,,,,23.2163,37.8121
Mitanni,-1400,-1301,181413.0123578479,POLITY,Mitanni,Q178665,sy_mitanni_k,,,39.6773,36.1455
Hittites,-1400,-1301,167243.9342233304,POLITY,Hittites,Q5406,tr_hatti_new_k,,,34.4619,38.2421
Assyria,-1400,-1301,34429.08876087258,POLITY,Assyria,Q41137,,,,44.5744,35.3042
Elam,-1400,-1301,81969.45075125474,POLITY,Elam,Q128904,ir_elam_5,,,49.9561,30.9336
Babylonia,-1400,-1301,226483.55954840998,POLITY,Babylonia,Q47690,iq_babylonia_2,,,45.2182,32.6525
New Kingdom of Egypt,-1400,-1301,708814.3636673576,POLITY,New Kingdom of Egypt,Q180568,eg_new_k_1,,,31.7995,26.6895
Mycenaean Greece,-1300,-1241,56377.716263258895,POLITY,Mycenaean Greece,Q181264,,,,23.2164,37.811
Mitanni,-1300,-1241,48934.126461553315,POLITY,Mitanni,Q178665,sy_mitanni_k,,,38.7005,36.4033
Hittites,-1300,-1241,321568.31988010247,POLITY,Hittites,Q5406,tr_hatti_new_k,,,34.4017,38.1247
Assyria,-1300,-1241,195096.8833092337,POLITY,Assyria,Q41137,iq_middle_assyrian_emp,,,42.4775,35.1806
(Alliance between Elam and Babylonia),-1300,-1241,237027.40618462703,RELATION,Elam,Q128904,ir_elam_6;iq_babylonia_2,Babylonia;Elam,,47.606,31.6099
Elam,-1300,-1151,81969.45075125474,POLITY,Elam,Q128904,ir_elam_6,,,49.9561,30.9336
Babylonia,-1300,-1241,155057.95543337232,POLITY,Babylonia,Q47690,iq_babylonia_2,,,46.3771,31.9635
