Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
306,Kalaureia,-670.5,-494.5,24.9,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Kalaureia,Europe,Southern Europe,244,160,161,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.46031 37.49844, 23.46406 37.50031, 23.46456 37.…"
307,Pityonesos,-670.5,-494.5,11.9,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Pityonesos,Europe,Southern Europe,244,160,173,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.34228 37.67606, 23.3482 37.683, 23.37439 37.698…"
308,Pityoussa,-670.5,-494.5,20.9,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Pityoussa,Europe,Southern Europe,244,160,164,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.14356 37.23808, 23.15778 37.24239, 23.16608 37.…"
309,Trikrana,-670.5,-494.5,1.1,POLITY,,(Kalaurian Amphictiony),Kalaurian Amphictiony - Trikrana,Europe,Southern Europe,244,160,166,2026-08-21,Kalaurian Amphictiony,,"POLYGON ((23.27825 37.26214, 23.28278 37.26517, 23.28492 37.…"
310,Kalinga,-610.1,-430.5,49742.6,POLITY,,,Kalinga,South Asia,North India,240,208,160,2026-08-21,Kalinga,,"POLYGON ((84.96094 19.29158, 84.92741 19.26167, 84.92606 19.…"
311,Karusha,-610.1,-301.5,25419.4,POLITY,,,Karusha,South Asia,North India,80,192,208,2026-08-21,Karusha,,"POLYGON ((80.477 22.5863, 80.5035 22.5995, 80.5255 22.6436, …"
312,Kasmira,-500.5,-256.5,52265.1,POLITY,,,Kasmira,South Asia,North India,208,128,208,2026-08-21,Kasmira,,"POLYGON ((76.1879 34.9839, 76.2321 34.9575, 76.2056 34.9001,…"
313,Khoisan Peoples,-2400.1,-1.0,6744871.7,TRIBAL_AREA,,,Khoisan Peoples,Africa,Southern Africa,104,176,176,2026-08-21,Khoisan Peoples,,"MULTIPOINT ((18.6 -33.7), (19.3 -32.7), (18.55 -31.7), (17.8…"
314,Kingdom of Argos,-546.5,-494.5,1576.4,POLITY,,,Kingdom of Argos,Europe,Southern Europe,224,112,224,2026-08-21,Kingdom of Argos,,"POLYGON ((22.96 37.6967, 22.9767 37.6783, 22.98 37.655, 22.9…"
315,Argolid,-670.5,-494.1,1200.3,POLITY,,(Kingdom of Argos),Kingdom of Argos - Argolid,Europe,Southern Europe,224,112,225,2026-08-21,Kingdom of Argos,,"POLYGON ((22.75031 37.44122, 22.7272 37.4491, 22.69 37.4509,…"
316,Nauplia,-623.5,-494.5,376.2,POLITY,,(Kingdom of Argos),Kingdom of Argos - Nauplia,Europe,Southern Europe,224,112,231,2026-08-21,Kingdom of Argos,,"POLYGON ((22.79181 37.58248, 22.80447 37.57169, 22.80339 37.…"
317,Kingdom of Kush,-523.5,-400.5,327314.0,POLITY,,,Kingdom of Kush,Africa,Northeast Africa,208,64,64,2026-08-21,Kingdom of Kush,,"MULTIPOLYGON (((29.8914 17.2631, 29.8707 17.4549, 29.85 17.6…"
318,Upper Nubia,-1139.5,-1.0,90884.2,POLITY,,(Kingdom of Kush),Kingdom of Kush - Upper Nubia,Africa,Northeast Africa,208,64,66,2026-08-21,Kingdom of Kush,,"POLYGON ((33.7621 19.982, 33.7207 19.9253, 33.6845 19.8991, …"
319,Kingdom of Sparta,-500.1,-480.9,8135.2,POLITY,,,Kingdom of Sparta,Europe,Southern Europe,176,96,240,2026-08-21,Kingdom of Sparta,,"MULTIPOLYGON (((23.05347 36.21, 23.04947 36.20053, 23.05042 …"
320,Cynuria,-546.5,-480.9,666.4,POLITY,,(Kingdom of Sparta),Kingdom of Sparta - Cynuria,Europe,Southern Europe,176,96,246,2026-08-21,Kingdom of Sparta,,"POLYGON ((22.89145 37.20672, 22.8741 37.2015, 22.8472 37.198…"
321,Cythera,-610.5,-480.9,278.5,POLITY,,(Kingdom of Sparta),Kingdom of Sparta - Cythera,Europe,Southern Europe,176,96,255,2026-08-21,Kingdom of Sparta,,"POLYGON ((23.05744 36.22175, 23.06467 36.2267, 23.07372 36.2…"
322,Messenia,-681.4,-480.9,2245.9,POLITY,,(Kingdom of Sparta),Kingdom of Sparta - Messenia,Europe,Southern Europe,176,96,243,2026-08-21,Kingdom of Sparta,,"POLYGON ((21.68139 37.37447, 21.7072 37.3706, 21.7341 37.375…"
323,Kirati,-610.1,-1.0,59810.3,POLITY,,,Kirati,South Asia,North India,244,244,247,2026-08-21,Kirati,,"POLYGON ((85.058 29.0094, 85.186 28.9829, 85.2919 29.0182, 8…"
324,Koliya,-610.1,-480.5,2000.2,POLITY,,,Koliya,South Asia,North India,244,240,32,2026-08-21,Koliya,,"POLYGON ((83.5694 27.7251, 83.5957 27.7207, 83.622 27.7119, …"
325,Konkana,-610.1,-300.5,3770.0,POLITY,,,Konkana,South Asia,North India,192,144,112,2026-08-21,Konkana,,"MULTIPOLYGON (((73.0726 18.9588, 73.1034 18.9235, 73.1608 18…"
326,Koreans,-2400.1,-1.0,70117.2,TRIBAL_AREA,,,Koreans,East Asia,Northeast Asia,224,48,176,2026-08-21,Koreans,,"MULTIPOINT ((126.8 34.8), (127.55 35.3), (129.05 35.33), (12…"
327,Kosala,-518.5,-490.5,117139.3,POLITY,,,Kosala,South Asia,North India,176,208,96,2026-08-21,Kosala,,"POLYGON ((84.2954 24.992, 84.2799 24.9775, 84.2699 24.9587, …"
328,Kalama,-518.5,-487.5,2262.2,POLITY,,(Kosala),Kosala - Kalama,South Asia,North India,176,208,100,2026-08-21,Kosala,,"POLYGON ((83.8154 26.208, 83.84195 26.19883, 83.86111 26.179…"
329,Kasi,-547.5,-490.5,27052.2,POLITY,,(Kosala),Kosala - Kasi,South Asia,North India,176,208,97,2026-08-21,Kosala,,"POLYGON ((81.7517 26.3241, 81.8052 26.3466, 81.8983 26.3569,…"
330,Ksudrakas,-610.1,-325.6,11064.4,POLITY,,,Ksudrakas,South Asia,Pakistan,244,243,247,2026-08-21,Ksudrakas,,"POLYGON ((72.28625 32.06695, 72.28005 32.05875, 72.27873 32.…"
331,Kuntala,-600.5,-300.5,22201.8,POLITY,,,Kuntala,South Asia,North India,244,244,246,2026-08-21,Kuntala,,"POLYGON ((76.7971 18.3877, 76.6824 18.3657, 76.4971 18.3039,…"
332,Kyme,-500.5,-470.5,251.5,POLITY,,,Kyme,Europe,Southern Europe,240,192,208,2026-08-21,Kyme,,"MULTIPOLYGON (((13.92636 40.70292, 13.91667 40.70114, 13.905…"
333,Pithecusae,-500.5,-1.0,49.0,POLITY,,(Kyme),Kyme - Pithecusae,Europe,Southern Europe,240,194,222,2026-08-21,Kyme,,"POLYGON ((13.92717 40.70331, 13.92636 40.70292, 13.91667 40.…"
334,Latin League,-500.5,-499.5,1765.3,POLITY,,,Latin League,Europe,Southern Europe,244,208,112,2026-08-21,Latin League,,"POLYGON ((12.62 41.5417, 12.61 41.5283, 12.5958 41.5217, 12.…"
335,Ardea,-509.5,-442.5,192.0,POLITY,,(Latin League),Latin League - Ardea,Europe,Southern Europe,244,208,116,2026-08-21,Latin League,,"POLYGON ((12.57411 41.51045, 12.5817 41.5133, 12.5958 41.521…"
336,Aricia,-509.5,-341.2,58.5,POLITY,,(Latin League),Latin League - Aricia,Europe,Southern Europe,244,208,118,2026-08-21,Latin League,,"POLYGON ((12.6058 41.6708, 12.6133 41.6767, 12.6233 41.6842,…"
337,Gabii,-509.5,-341.2,57.6,POLITY,,(Latin League),Latin League - Gabii,Europe,Southern Europe,244,208,122,2026-08-21,Latin League,,"POLYGON ((12.6508 41.85, 12.6575 41.8492, 12.6667 41.8492, 1…"
338,Labicum,-509.5,-418.8,46.8,POLITY,,(Latin League),Latin League - Labicum,Europe,Southern Europe,244,208,120,2026-08-21,Latin League,,"POLYGON ((12.7633 41.7625, 12.7642 41.77, 12.7617 41.78, 12.…"
339,Lanuvium,-509.5,-383.5,83.0,POLITY,,(Latin League),Latin League - Lanuvium,Europe,Southern Europe,244,208,117,2026-08-21,Latin League,,"POLYGON ((12.6667 41.5775, 12.6783 41.5833, 12.6883 41.5892,…"
340,Lavinium,-509.5,-341.2,111.5,POLITY,,(Latin League),Latin League - Lavinium,Europe,Southern Europe,244,208,115,2026-08-21,Latin League,,"POLYGON ((12.4625 41.7333, 12.4775 41.7275, 12.4908 41.715, …"
341,Nomentum,-509.5,-341.2,114.8,POLITY,,(Latin League),Latin League - Nomentum,Europe,Southern Europe,244,209,112,2026-08-21,Latin League,,"POLYGON ((12.5958 42.025, 12.6033 42.0225, 12.6142 42.02, 12…"
342,Pedum,-509.5,-492.5,56.2,POLITY,,(Latin League),Latin League - Pedum,Europe,Southern Europe,244,208,123,2026-08-21,Latin League,,"POLYGON ((12.79 41.8383, 12.795 41.8442, 12.8058 41.8542, 12…"
343,Praeneste,-509.5,-499.5,411.2,POLITY,,(Latin League),Latin League - Praeneste,Europe,Southern Europe,244,208,121,2026-08-21,Latin League,,"POLYGON ((12.9075 41.9108, 12.9142 41.9092, 12.9225 41.9042,…"
344,Tibur,-509.5,-492.5,590.6,POLITY,,(Latin League),Latin League - Tibur,Europe,Southern Europe,244,208,124,2026-08-21,Latin League,,"POLYGON ((12.9574 42.0912, 12.9905 42.0622, 13.0194 42.0305,…"
345,Tusculum,-509.5,-381.3,43.1,POLITY,,(Latin League),Latin League - Tusculum,Europe,Southern Europe,244,208,119,2026-08-21,Latin League,,"POLYGON ((12.7192 41.7842, 12.7217 41.7883, 12.7275 41.795, …"
346,Lauhitya,-610.1,-1.0,4805.2,POLITY,,,Lauhitya,South Asia,North India,244,244,240,2026-08-21,Lauhitya,,"POLYGON ((92.3233 26.8395, 92.3851 26.813, 92.4468 26.7821, …"
347,Liburnians,-500.1,-1.0,8634.4,TRIBAL_AREA,,,Liburnians,Europe,Southeastern Europe,192,176,16,2026-08-21,Liburnians,,"MULTIPOLYGON (((14.92761 44.09772, 14.92278 44.10614, 14.911…"
348,Libyans,-515.5,-440.5,0.0,TRIBAL_AREA,,,Libyans,Africa,Maghreb,112,208,16,2026-08-21,Libyans,Contained in border: Libyphoenices,POINT (21.7155 30.6337)
349,Libyphoenices,-500.1,-1.0,212217.1,POLITY,,,Libyphoenices,Africa,Maghreb,244,240,241,2026-08-21,Libyphoenices,Overlaps dot-tribe(s): Libyans,"POLYGON ((20.1327 30.8189, 20.2777 30.8589, 20.4327 30.9189,…"
350,Ligurians,-600.1,-1.0,28420.9,TRIBAL_AREA,,,Ligurians,Europe,Southern Europe,112,32,176,2026-08-21,Ligurians,,"MULTIPOINT ((5.6 43.45), (10.1867 44.4067), (9.231 44.6331),…"
351,Linhu,-770.1,-306.5,64744.3,POLITY,,,Linhu,East Asia,North China,244,243,243,2026-08-21,Linhu,,"POLYGON ((109.6 38.975, 109.3917 38.9, 109.225 38.8, 109.108…"
352,Loufan,-541.5,-307.5,12763.3,TRIBAL_AREA,,,Loufan,East Asia,North China,144,176,16,2026-08-21,Loufan,,"POLYGON ((112.665 39.9228, 112.6389 39.8184, 112.5711 39.708…"
353,Lu,-517.5,-487.5,26729.8,POLITY,,,Lu,East Asia,North China,228,160,224,2026-08-21,Lu,,"POLYGON ((116.753 34.9496, 116.7165 34.9287, 116.68 34.913, …"
354,Partition of the Three Huan,-517.5,-487.5,26729.8,POLITY,,(Lu),Lu - Partition of the Three Huan,East Asia,North China,228,160,227,2026-08-21,Lu,,"POLYGON ((116.753 34.9496, 116.7165 34.9287, 116.68 34.913, …"
355,Lucani,-500.1,-436.5,11728.8,POLITY,,,Lucani,Europe,Southern Europe,244,240,254,2026-08-21,Lucani,"Overlaps dot-tribe(s): Italics, Lucanians","POLYGON ((14.93256 40.49078, 14.9451 40.5053, 14.9668 40.520…"
356,Lynkestis,-540.5,-475.5,2729.1,POLITY,,,Lynkestis,Europe,Southeastern Europe,128,144,208,2026-08-21,Lynkestis,,"POLYGON ((21.075 41.2158, 21.0873 41.2118, 21.094 41.1968, 2…"
357,Madra,-518.5,-337.5,33245.7,POLITY,,,Madra,South Asia,Pakistan,32,192,208,2026-08-21,Madra,,"POLYGON ((74.9896 32.06256, 74.98675 32.06264, 74.9835 32.05…"
358,Magadha,-500.5,-490.5,38593.6,POLITY,,,Magadha,South Asia,North India,160,192,144,2026-08-21,Magadha,,"POLYGON ((84.902 24.3951, 84.8755 24.3819, 84.849 24.351, 84…"
359,Malavas,-610.1,-400.5,8889.2,POLITY,,,Malavas,South Asia,Pakistan,244,243,248,2026-08-21,Malavas,,"POLYGON ((72.13545 31.18561, 72.13856 31.17622, 72.13709 31.…"
360,Malla,-610.1,-467.5,13779.8,POLITY,,,Malla,South Asia,North India,244,192,96,2026-08-21,Malla,,"MULTIPOLYGON (((85.17364 25.80186, 85.17017 25.80364, 85.170…"
361,Kusinara,-610.1,-467.5,9447.8,POLITY,,(Malla),Malla - Kusinara,South Asia,North India,244,192,97,2026-08-21,Malla,,"MULTIPOLYGON (((85.17439 25.80397, 85.17364 25.80186, 85.170…"
362,Pava,-610.1,-467.5,4332.0,POLITY,,(Malla),Malla - Pava,South Asia,North India,244,192,98,2026-08-21,Malla,,"POLYGON ((83.6833 27.6637, 83.6658 27.6594, 83.6658 27.6243,…"
363,Manchurian Peoples,-662.6,-282.5,1541524.4,TRIBAL_AREA,,,Manchurian Peoples,East Asia,North China,224,160,64,2026-08-21,Manchurian Peoples,,"MULTIPOINT ((121.3 41.8), (125.3 41.8), (122.3 43.3), (124.3…"
364,Manshi,-770.1,-491.5,2484.0,POLITY,,,Manshi,East Asia,North China,244,242,244,2026-08-21,Manshi,,"POLYGON ((112.3569 34.1293, 112.4138 34.1345, 112.4138 34.13…"
365,Matsya,-600.5,-318.5,60009.6,POLITY,,,Matsya,South Asia,North India,144,224,80,2026-08-21,Matsya,,"POLYGON ((74.9135 26.2251, 74.8782 26.2559, 74.8121 26.2515,…"
366,Maya,-800.1,-1.0,233242.7,TRIBAL_AREA,,,Maya,North America,Mexico,208,144,64,2026-08-21,Maya,,"MULTIPOINT ((-90.7 14.1), (-88.7 13.8), (-91.7 15.3), (-92.7…"
367,Megaris,-509.5,-484.5,899.7,POLITY,,,Megaris,Europe,Southern Europe,112,224,48,2026-08-21,Megaris,,"MULTIPOLYGON (((15.14319 37.30531, 15.16008 37.28911, 15.163…"
368,Megara Hyblaea,-726.5,-484.5,200.7,POLITY,,(Megaris),Megaris - Megara Hyblaea,Europe,Southern Europe,112,224,50,2026-08-21,Megaris,,"POLYGON ((15.1392 37.2942, 15.1282 37.2882, 15.118 37.2808, …"
369,Mesoamerican Peoples,-800.1,-1.0,1205785.0,TRIBAL_AREA,,,Mesoamerican Peoples,North America,Mexico,112,224,32,2026-08-21,Mesoamerican Peoples,,"MULTIPOINT ((-83.7 9.33), (-81.7 8.5), (-75.7 6.3), (-76.67 …"
370,Messapians,-800.1,-317.2,478.2,TRIBAL_AREA,,,Messapians,Europe,Southern Europe,224,144,96,2026-08-21,Messapians,"Contained in border: Iapygii, Messapii","MULTIPOINT ((16.9017 40.7916), (17.631 40.543), (18.2103 40.…"
371,Messapii,-500.1,-280.4,5394.2,POLITY,,,Messapii,Europe,Southern Europe,244,240,255,2026-08-21,Messapii,Overlaps dot-tribe(s): Messapians,"POLYGON ((18.4145 39.98389, 18.40728 39.97117, 18.40408 39.9…"
372,Mianzhu,-771.1,-361.5,659.6,POLITY,,,Mianzhu,East Asia,North China,244,242,240,2026-08-21,Mianzhu,,"POLYGON ((105.9661 34.7965, 105.9139 34.8174, 105.8513 34.83…"
373,Mixtecs,-1400.1,-1.0,0.0,TRIBAL_AREA,,,Mixtecs,North America,Mexico,144,240,48,2026-08-21,Mixtecs,,POINT (-98.7 16.8)
374,Moriya,-610.1,-467.5,2236.5,POLITY,,,Moriya,South Asia,North India,208,176,208,2026-08-21,Moriya,,"POLYGON ((83.5607 27.3002, 83.5826 27.2652, 83.5869 27.2214,…"
375,Mulaka,-610.1,-301.5,3826.3,POLITY,,,Mulaka,South Asia,North India,244,244,243,2026-08-21,Mulaka,,"POLYGON ((74.9828 19.3029, 74.952 19.3427, 74.9476 19.3735, …"
376,Ni,-770.1,-335.5,457.1,POLITY,,,Ni,East Asia,North China,176,192,176,2026-08-21,Ni,,"POLYGON ((117.593 34.9913, 117.6087 34.9183, 117.5617 34.949…"
377,Nilotic Peoples,-1000.1,-1.0,657419.0,TRIBAL_AREA,,,Nilotic Peoples,Africa,Northeast Africa,128,224,192,2026-08-21,Nilotic Peoples,,"MULTIPOINT ((30.55 4.3), (32.05 4.3), (33.55 4.3), (35.15 4.…"
378,Nok People,-1500.1,-1.0,199237.9,TRIBAL_AREA,,,Nok People,Africa,West Africa,176,128,96,2026-08-21,Nok People,,"MULTIPOINT ((4.8 9.3), (7.05 8.3), (8.55 8.3), (6.3 9.3), (7…"
379,North Arabian Semites,-500.1,-1.0,846325.7,POLITY,,,North Arabian Semites,Southwest Asia,Arabia,244,240,242,2026-08-21,North Arabian Semites,"Overlaps dot-tribe(s): Aramaeans, Qedarites, Arabs","POLYGON ((37.27239 25.01053, 37.26458 25.02672, 37.26095 25.…"
380,Northwest Coast Peoples,-2400.1,-1.0,680019.6,TRIBAL_AREA,,,Northwest Coast Peoples,North America,Arctic America,240,112,112,2026-08-21,Northwest Coast Peoples,,"MULTIPOINT ((-123.7 42.3), (-122.7 43.8), (-123.7 45.3), (-1…"
381,Nubians,-714.1,-1.0,142988.0,TRIBAL_AREA,,,Nubians,Africa,Northeast Africa,144,0,0,2026-08-21,Nubians,,"MULTIPOINT ((34.25 13.75), (31.25 15.25), (33.25 15.25), (35…"
382,Numidians,-1000.1,-400.1,251888.8,TRIBAL_AREA,,,Numidians,Africa,Maghreb,160,176,48,2026-08-21,Numidians,,"MULTIPOINT ((3.569 34.8314), (4.2931 34.3169), (0.9034 34.66…"
383,Odra,-610.1,-344.5,10200.8,POLITY,,,Odra,South Asia,North India,248,240,160,2026-08-21,Odra,,"POLYGON ((84.98214 20.48281, 84.97189 20.48311, 84.95652 20.…"
384,Oetaea,-695.5,-395.3,735.0,POLITY,,,Oetaea,Europe,Southern Europe,148,208,128,2026-08-21,Oetaea,,"POLYGON ((21.9373 39.0855, 21.9187 39.0731, 21.9062 39.0576,…"
385,Olmecs,-1250.1,-1.0,33931.5,TRIBAL_AREA,,,Olmecs,North America,Mexico,224,240,80,2026-08-21,Olmecs,,"MULTIPOINT ((-95.7 18.3), (-96.7 19.8), (-94.7 16.8), (-93.7…"
386,Opuntian Locris,-695.5,-481.1,493.5,POLITY,,,Opuntian Locris,Europe,Southern Europe,132,224,240,2026-08-21,Opuntian Locris,,"POLYGON ((22.87159 38.75886, 22.87795 38.76172, 22.88436 38.…"
387,Orestis,-540.5,-475.5,2846.1,POLITY,,,Orestis,Europe,Southern Europe,228,112,240,2026-08-21,Orestis,,"POLYGON ((21.0075 40.6508, 21.0432 40.6593, 21.0882 40.676, …"
388,Ozolian Locris,-614.5,-485.5,1752.6,POLITY,,,Ozolian Locris,Europe,Southern Europe,140,224,240,2026-08-21,Ozolian Locris,,"MULTIPOLYGON (((16.30986 38.26886, 16.28428 38.24797, 16.263…"
389,Epizephyrian Locris,-679.5,-424.3,180.1,POLITY,,(Ozolian Locris),Ozolian Locris - Epizephyrian Locris,Europe,Southern Europe,140,224,241,2026-08-21,Ozolian Locris,,"POLYGON ((16.3172 38.2948, 16.308 38.3034, 16.2979 38.3107, …"
390,Hipponion,-646.5,-393.5,247.5,POLITY,,(Ozolian Locris),Ozolian Locris - Hipponion,Europe,Southern Europe,140,224,243,2026-08-21,Ozolian Locris,,"POLYGON ((16.1699 38.7445, 16.16203 38.74047, 16.14558 38.72…"
391,Medma,-614.5,-400.1,267.6,POLITY,,(Ozolian Locris),Ozolian Locris - Medma,Europe,Southern Europe,140,224,244,2026-08-21,Ozolian Locris,,"POLYGON ((15.8887 38.4392, 15.8955 38.4286, 15.9035 38.4189,…"
392,Paiones,-500.1,-356.5,33002.7,POLITY,,,Paiones,Europe,Southeastern Europe,244,241,242,2026-08-21,Paiones,Overlaps dot-tribe(s): Paeonians,"POLYGON ((21.5083 43.2917, 21.3833 43.05, 21.2917 42.675, 21…"
393,Paleosiberians,-2400.1,-1.0,7976456.3,TRIBAL_AREA,,,Paleosiberians,Central and Northern Eurasia,Siberia,160,144,144,2026-08-21,Paleosiberians,,"MULTIPOINT ((66.3 55.3), (68.3 55.3), (70.3 55.3), (69.3 56.…"
394,Pampas Cultures,-2400.1,-1.0,1604855.4,TRIBAL_AREA,,,Pampas Cultures,South America and Caribbean,Southern South America,16,192,32,2026-08-21,Pampas Cultures,,"MULTIPOINT ((-70.7 -49.2), (-68.7 -49.2), (-71.7 -47.7), (-6…"
395,Panchala,-530.5,-355.5,71215.0,POLITY,,,Panchala,South Asia,North India,128,160,128,2026-08-21,Panchala,,"POLYGON ((79.373 26.7004, 79.3156 26.7004, 79.2803 26.696, 7…"
396,Dakshina Panchala,-610.1,-355.5,32371.6,POLITY,,(Panchala),Panchala - Dakshina Panchala,South Asia,North India,128,160,129,2026-08-21,Panchala,,"POLYGON ((80.0547 27.8327, 80.1033 27.868, 80.1562 27.8725, …"
397,Sankissa,-570.5,-355.5,2185.3,POLITY,,(Panchala),Panchala - Sankissa,South Asia,North India,128,160,131,2026-08-21,Panchala,,"POLYGON ((79.5538 26.7093, 79.4877 26.7048, 79.4171 26.7004,…"
398,Uttar Panchala,-530.5,-355.5,38824.0,POLITY,,(Panchala),Panchala - Uttar Panchala,South Asia,North India,128,160,130,2026-08-21,Panchala,,"POLYGON ((80.1003 29.1238, 80.1841 29.0973, 80.2062 29.0797,…"
399,Papuans,-1600.1,-1.0,612744.6,TRIBAL_AREA,,,Papuans,Southeast Asia,Maritime Southeast Asia,176,48,96,2026-08-21,Papuans,,"MULTIPOINT ((138.3 -7.7), (139.8 -7.7), (139.05 -6.7), (138.…"
400,Patagonian Peoples,-2400.1,-1.0,278397.6,TRIBAL_AREA,,,Patagonian Peoples,South America and Caribbean,Southern South America,176,0,80,2026-08-21,Patagonian Peoples,,"MULTIPOINT ((-72.3 -52.2), (-73.58 -50.87), (-71.63 -53.65),…"
401,Pelagonia,-540.5,-475.5,1758.2,POLITY,,,Pelagonia,Europe,Southeastern Europe,132,208,208,2026-08-21,Pelagonia,,"POLYGON ((21.66 41.0133, 21.6075 41.0808, 21.6 41.1358, 21.6…"
402,Persian Empire,-508.5,-499.3,6892867.5,POLITY,,,Persian Empire,Southwest Asia,Iran,196,240,0,2026-08-21,Persian Empire,,"MULTIPOLYGON (((25.1343 29.3681, 25.136 29.4697, 25.1293 29.…"
403,Arakhosia,-516.5,-338.5,891751.4,POLITY,,(Persian Empire),Persian Empire - Arakhosia,Central and Northern Eurasia,Afghanistan,196,243,1,2026-08-21,Persian Empire,,"MULTIPOLYGON (((66.17889 25.54239, 66.17675 25.54356, 66.169…"
404,Arakhosia,-516.5,-338.5,282318.2,POLITY,,(Arakhosia),Persian Empire - Arakhosia - Arakhosia,Central and Northern Eurasia,Afghanistan,196,241,14,2026-08-21,Persian Empire,,"POLYGON ((67.8377 29.9575, 67.8543 29.9492, 67.8957 29.9451,…"
405,Drangiana,-541.5,-330.1,184308.1,POLITY,,(Arakhosia),Persian Empire - Arakhosia - Drangiana,Central and Northern Eurasia,Afghanistan,196,241,13,2026-08-21,Persian Empire,,"POLYGON ((63.8692 29.9908, 63.8158 29.9792, 63.7542 29.9692,…"
406,Ariaspai,-541.5,-329.8,37322.9,POLITY,,(Drangiana),Persian Empire - Arakhosia - Drangiana - Ariaspai,Central and Northern Eurasia,Afghanistan,196,242,0,2026-08-21,Persian Empire,,"POLYGON ((63.8692 29.9908, 63.8158 29.9792, 63.7542 29.9692,…"
407,Drangiana,-544.5,-330.1,146985.2,POLITY,,(Drangiana),Persian Empire - Arakhosia - Drangiana - Drangiana,Central and Northern Eurasia,Afghanistan,196,241,13,2026-08-21,Persian Empire,,"POLYGON ((61.70539 29.9962, 61.70339 29.97947, 61.70475 29.9…"
408,Gedrosia,-531.5,-329.5,425125.1,POLITY,,(Arakhosia),Persian Empire - Arakhosia - Gedrosia,South Asia,Pakistan,196,243,1,2026-08-21,Persian Empire,,"MULTIPOLYGON (((66.1795 25.5415, 66.17889 25.54239, 66.17675…"
409,Gedrosia,-536.5,-329.5,360422.3,POLITY,,(Gedrosia),Persian Empire - Arakhosia - Gedrosia - Gedrosia,Southwest Asia,Iran,196,242,11,2026-08-21,Persian Empire,,"POLYGON ((64.97961 25.32386, 64.96603 25.32056, 64.95103 25.…"
410,Oreitai,-531.5,-329.5,64702.8,POLITY,,(Gedrosia),Persian Empire - Arakhosia - Gedrosia - Oreitai,South Asia,Pakistan,196,243,1,2026-08-21,Persian Empire,,"MULTIPOLYGON (((66.84834 24.99522, 66.83806 24.97397, 66.818…"
411,Assyria,-527.5,-498.5,9272.7,POLITY,,(Persian Empire),Persian Empire - Assyria,Southwest Asia,Levant,196,249,0,2026-08-21,Persian Empire,,"POLYGON ((33.01564 34.60536, 33.01936 34.59636, 33.02425 34.…"
412,Cypriot Kingdoms,-527.5,-498.5,9272.7,POLITY,,(Assyria),Persian Empire - Assyria - Cypriot Kingdoms,Southwest Asia,Levant,196,249,0,2026-08-21,Persian Empire,,"POLYGON ((33.01564 34.60536, 33.01936 34.59636, 33.02425 34.…"
413,Amathous,-527.5,-387.6,672.8,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Amathous,Southwest Asia,Levant,196,249,3,2026-08-21,Persian Empire,,"POLYGON ((33.01836 34.63842, 33.02133 34.64864, 33.028 34.65…"
414,Chyt(h)roi,-527.5,-498.5,564.0,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Chyt(h)roi,Southwest Asia,Levant,196,249,11,2026-08-21,Persian Empire,,"POLYGON ((33.71403 35.38417, 33.70178 35.37444, 33.68273 35.…"
415,Idalion,-527.5,-498.5,674.5,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Idalion,Southwest Asia,Levant,196,249,8,2026-08-21,Persian Empire,,"POLYGON ((33.5475 34.9767, 33.5283 34.955, 33.51 34.9317, 33…"
416,Kition,-527.5,-498.5,778.7,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Kition,Southwest Asia,Levant,196,249,4,2026-08-21,Persian Empire,,"POLYGON ((33.8642 34.995, 33.8792 34.98, 33.8917 34.9608, 33…"
417,Kourion,-527.5,-498.5,634.6,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Kourion,Southwest Asia,Levant,196,249,2,2026-08-21,Persian Empire,,"POLYGON ((32.76483 34.65417, 32.76711 34.65708, 32.77545 34.…"
418,Lapethos,-527.5,-498.5,481.6,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Lapethos,Southwest Asia,Levant,196,249,9,2026-08-21,Persian Empire,,"POLYGON ((32.94603 35.31564, 32.94353 35.33736, 32.94014 35.…"
419,Ledrai,-527.5,-498.5,275.8,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Ledrai,Southwest Asia,Levant,196,249,10,2026-08-21,Persian Empire,,"POLYGON ((33.36753 35.3307, 33.3658 35.3242, 33.3592 35.315,…"
420,Marion,-527.5,-498.5,734.7,POLITY,,(Cypriot Kingdoms),Persian Empire - Assyria - Cypriot Kingdoms - Marion,Southwest Asia,Levant,196,249,0,2026-08-21,Persian Empire,,"POLYGON ((32.6725 34.9917, 32.6583 34.9808, 32.6367 34.9717,…"
