Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,FullPath,Region,Subregion,ColorR,ColorG,ColorB,Generated,SourceRun,OverlapNote,geometry
223,Pandosia,-685.1,-342.7,168.8,POLITY,,(Elis),Elis - Pandosia,Europe,Southern Europe,144,144,243,2026-08-21,Elis,,"POLYGON ((20.7521 39.2878, 20.7503 39.2971, 20.7474 39.306, …"
224,Eordaia,-540.5,-475.5,1610.4,POLITY,,,Eordaia,Europe,Southern Europe,248,160,144,2026-08-21,Eordaia,,"POLYGON ((21.8486 40.8304, 21.8148 40.8393, 21.7698 40.841, …"
225,Epicnemidian Locris,-650.5,-490.5,379.1,POLITY,,,Epicnemidian Locris,Europe,Southern Europe,136,224,240,2026-08-21,Epicnemidian Locris,,"MULTIPOLYGON (((22.59122 38.83125, 22.59686 38.83845, 22.598…"
226,Thronion,-650.5,-490.5,102.3,POLITY,,(Epicnemidian Locris),Epicnemidian Locris - Thronion,Europe,Southeastern Europe,136,224,241,2026-08-21,Epicnemidian Locris,,"POLYGON ((19.5067 40.4529, 19.5134 40.4635, 19.5188 40.4749,…"
227,Eretria,-650.5,-490.3,1335.4,POLITY,,,Eretria,Europe,Southern Europe,240,144,192,2026-08-21,Eretria,,"MULTIPOLYGON (((24.51972 37.94353, 24.52464 37.94261, 24.529…"
228,Etruria,-515.5,-482.5,62785.5,POLITY,,,Etruria,Europe,Southern Europe,212,208,32,2026-08-21,Etruria,,"MULTIPOLYGON (((9.104584 41.42256, 9.108111 41.42606, 9.1086…"
229,Aritim,-760.0,-310.4,1388.3,POLITY,,(Etruria),Etruria - Aritim,Europe,Southern Europe,212,208,34,2026-08-21,Etruria,,"POLYGON ((12.0167 43.7633, 12.0367 43.755, 12.0217 43.7383, …"
230,Caisra,-760.0,-390.6,1318.1,POLITY,,(Etruria),Etruria - Caisra,Europe,Southern Europe,212,208,41,2026-08-21,Etruria,,"POLYGON ((12.0241 42.2093, 12.0614 42.23, 12.1152 42.2672, 1…"
231,Capeva,-600.0,-450.5,292.4,POLITY,,(Etruria),Etruria - Capeva,Europe,Southern Europe,212,209,33,2026-08-21,Etruria,,"POLYGON ((14.3494 41.0986, 14.3471 41.111, 14.3432 41.1229, …"
232,Clevsin,-760.0,-310.6,1024.1,POLITY,,(Etruria),Etruria - Clevsin,Europe,Southern Europe,212,208,35,2026-08-21,Etruria,,"POLYGON ((11.7114 43.1669, 11.759 43.1731, 11.7983 43.1752, …"
233,Corsica,-525.5,-266.5,8752.5,POLITY,,(Etruria),Etruria - Corsica,Europe,Western Europe,212,209,36,2026-08-21,Etruria,,"POLYGON ((9.097778 41.39728, 9.105194 41.40311, 9.115778 41.…"
234,Curtun,-760.0,-310.4,1036.4,POLITY,,(Etruria),Etruria - Curtun,Europe,Southern Europe,212,208,36,2026-08-21,Etruria,,"POLYGON ((11.6555 43.32, 11.701 43.3304, 11.7507 43.3386, 11…"
235,Fulfluna,-760.0,-266.5,723.0,POLITY,,(Etruria),Etruria - Fulfluna,Europe,Southern Europe,212,208,37,2026-08-21,Etruria,,"POLYGON ((10.53331 43.17433, 10.5486 43.171, 10.5755 43.1721…"
236,Padanian Etruria,-515.5,-400.1,30264.5,POLITY,,(Etruria),Etruria - Padanian Etruria,Europe,Southern Europe,212,208,41,2026-08-21,Etruria,,"POLYGON ((12.45508 44.999, 12.46064 45, 12.46347 45.0005, 12…"
237,Pompeii,-524.0,-470.5,63.5,POLITY,,(Etruria),Etruria - Pompeii,Europe,Southern Europe,212,210,32,2026-08-21,Etruria,,"POLYGON ((14.476 40.7003, 14.4823 40.6995, 14.4885 40.6995, …"
238,Purusna,-760.0,-310.4,668.2,POLITY,,(Etruria),Etruria - Purusna,Europe,Southern Europe,212,208,42,2026-08-21,Etruria,,"POLYGON ((12.29195 43.32358, 12.28908 43.32281, 12.26392 43.…"
239,Tarchuna,-760.0,-266.5,1273.3,POLITY,,(Etruria),Etruria - Tarchuna,Europe,Southern Europe,212,208,33,2026-08-21,Etruria,,"POLYGON ((11.6566 42.2948, 11.6814 42.3103, 11.7217 42.3372,…"
240,V(F)elathri,-760.0,-266.5,5098.7,POLITY,,(Etruria),Etruria - V(F)elathri,Europe,Southern Europe,212,208,39,2026-08-21,Etruria,,"POLYGON ((10.27458 43.68737, 10.30611 43.68412, 10.3165 43.6…"
241,Vatluna,-760.0,-266.5,1915.0,POLITY,,(Etruria),Etruria - Vatluna,Europe,Southern Europe,212,208,38,2026-08-21,Etruria,,"POLYGON ((10.74683 42.92878, 10.749 42.94, 10.7676 42.9586, …"
242,Veii,-626.5,-482.5,982.1,POLITY,,(Etruria),Etruria - Veii,Europe,Southern Europe,212,208,43,2026-08-21,Etruria,,"POLYGON ((12.18172 41.87075, 12.20197 41.87533, 12.20381 41.…"
243,Velch,-760.0,-280.6,2237.5,POLITY,,(Etruria),Etruria - Velch,Europe,Southern Europe,212,208,40,2026-08-21,Etruria,,"POLYGON ((11.18586 42.52811, 11.1983 42.5359, 11.2179 42.547…"
244,Velzna,-760.0,-280.6,2899.0,POLITY,,(Etruria),Etruria - Velzna,Europe,Southern Europe,212,208,44,2026-08-21,Etruria,,"POLYGON ((12.0279 42.9331, 12.0559 42.9372, 12.0797 42.9404,…"
245,Finns,-750.1,-1.0,1156929.8,TRIBAL_AREA,,,Finns,Central and Northern Eurasia,Siberia,16,240,240,2026-08-21,Finns,,"MULTIPOINT ((40.3 50.3), (42.3 50.3), (44.3 50.3), (46.3 50.…"
246,Garamantes,-500.1,-1.0,151314.3,POLITY,,,Garamantes,Africa,Northeast Africa,244,240,240,2026-08-21,Garamantes,Overlaps dot-tribe(s): Saharan Peoples,"POLYGON ((25.0527 29.9564, 25.0893 29.9081, 25.116 29.8414, …"
247,Gela,-505.5,-496.5,169.6,POLITY,,,Gela,Europe,Southern Europe,224,112,192,2026-08-21,Gela,,"POLYGON ((14.1634 37.0945, 14.17478 37.09025, 14.20839 37.08…"
248,Gojoseon,-770.1,-280.5,52632.7,POLITY,,,Gojoseon,East Asia,North China,224,128,192,2026-08-21,Gojoseon,,"MULTIPOLYGON (((124.3546 39.98478, 124.3436 39.9805, 124.335…"
249,Guifang,-770.1,-302.5,614078.3,TRIBAL_AREA,,,Guifang,Central and Northern Eurasia,Mongolia,32,192,32,2026-08-21,Guifang,,"MULTIPOINT ((96.3 40.3), (98.3 40.3), (100.3 40.3), (97.3 41…"
250,Hu,-770.1,-495.5,2763.3,POLITY,,,Hu,East Asia,North China,228,224,112,2026-08-21,Hu,,"POLYGON ((115.9035 33.1017, 115.9397 33.0914, 115.9914 33.05…"
251,Iapygii,-500.1,-318.5,13992.1,POLITY,,,Iapygii,Europe,Southern Europe,244,240,253,2026-08-21,Iapygii,"Overlaps dot-tribe(s): Daunians, Peucetians, Messapians","POLYGON ((15.34139 41.91739, 15.34533 41.91245, 15.35331 41.…"
252,Iberians,-600.0,-1.0,392452.6,TRIBAL_AREA,,,Iberians,Europe,Southern Europe,144,240,16,2026-08-21,Iberians,,"MULTIPOINT ((-6.7 39.3), (-5.2 39.3), (-3.7 37.3), (-2.2 37.…"
253,Illyrians,-800.1,-1.0,0.0,TRIBAL_AREA,,,Illyrians,Europe,Southeastern Europe,176,128,64,2026-08-21,Illyrians,Contained in border: Illyrioi,POINT (13.94 45.3)
254,Grabaei,-500.1,-429.1,0.0,TRIBAL_AREA,,(Illyrians),Illyrians - Grabaei,Europe,Southeastern Europe,176,128,68,2026-08-21,Illyrians,,POINT (19.6117 42.3608)
255,Illyrioi,-500.1,-1.0,41104.6,POLITY,,,Illyrioi,Europe,Southeastern Europe,244,241,240,2026-08-21,Illyrioi,Overlaps dot-tribe(s): Illyrians,"POLYGON ((18 42.69697, 17.99956 42.69697, 17.99067 42.70328,…"
256,Indo-Aryans,-515.5,-345.5,447992.1,TRIBAL_AREA,,,Indo-Aryans,South Asia,North India,144,224,224,2026-08-21,Indo-Aryans,,"MULTIPOINT ((76.25 19.25), (75.75 19.85), (76.75 19.85), (69…"
257,Ionians,-500.5,-499.2,4204.6,TRIBAL_AREA,,,Ionians,Europe,Southern Europe,240,192,224,2026-08-21,Ionians,,"MULTIPOLYGON (((14.9445 37.2011, 14.9344 37.2085, 14.9252 37…"
258,Amorgos,-1040.5,-469.5,120.0,POLITY,,(Ionians),Ionians - Amorgos,Southwest Asia,Anatolia-Caucasus,240,194,232,2026-08-21,Ionians,,"POLYGON ((25.80211 36.76948, 25.80639 36.77011, 25.82189 36.…"
259,Belbina,-1040.5,-480.9,8.1,POLITY,,(Ionians),Ionians - Belbina,Europe,Southern Europe,240,192,231,2026-08-21,Ionians,,"POLYGON ((23.92572 37.463, 23.93486 37.46697, 23.94381 37.46…"
260,Catane,-728.5,-496.5,208.6,POLITY,,(Ionians),Ionians - Catane,Europe,Southern Europe,240,195,232,2026-08-21,Ionians,,"MULTIPOLYGON (((15.0925 37.40225, 15.092916538461537 37.4032…"
261,Donousa,-1040.5,-499.2,14.9,POLITY,,(Ionians),Ionians - Donousa,Southwest Asia,Anatolia-Caucasus,240,194,228,2026-08-21,Ionians,,"POLYGON ((25.82883 37.09028, 25.83695 37.098, 25.83817 37.10…"
262,Elea,-540.5,-393.5,179.8,POLITY,,(Ionians),Ionians - Elea,Europe,Southern Europe,240,197,239,2026-08-21,Ionians,,"POLYGON ((15.2371 40.1017, 15.2438 40.1123, 15.2492 40.1237,…"
263,Gyaros,-1040.5,-469.5,16.7,POLITY,,(Ionians),Ionians - Gyaros,Europe,Southern Europe,240,192,236,2026-08-21,Ionians,,"POLYGON ((24.74284 37.59561, 24.74397 37.59675, 24.73561 37.…"
264,Helena,-1040.5,-480.9,19.1,POLITY,,(Ionians),Ionians - Helena,Europe,Southern Europe,240,192,232,2026-08-21,Ionians,,"POLYGON ((24.10725 37.65109, 24.11042 37.65178, 24.11383 37.…"
265,Herakleia,-1040.5,-469.5,17.0,POLITY,,(Ionians),Ionians - Herakleia,Europe,Southern Europe,240,194,235,2026-08-21,Ionians,,"POLYGON ((25.45745 36.82347, 25.46575 36.82914, 25.47542 36.…"
266,Himera,-648.5,-488.5,188.8,POLITY,,(Ionians),Ionians - Himera,Europe,Southern Europe,240,196,238,2026-08-21,Ionians,,"POLYGON ((13.7233 37.9833, 13.7225 37.9708, 13.7233 37.9583,…"
267,Ios,-1040.5,-469.5,112.2,POLITY,,(Ionians),Ionians - Ios,Europe,Southern Europe,240,194,236,2026-08-21,Ionians,,"POLYGON ((25.35761 36.64642, 25.36331 36.64686, 25.36617 36.…"
268,KItanos,-1040.5,-469.5,4.1,POLITY,,(Ionians),Ionians - KItanos,Southwest Asia,Anatolia-Caucasus,240,194,231,2026-08-21,Ionians,,"POLYGON ((26.28506 36.97367, 26.28856 36.97822, 26.30117 36.…"
269,Kekryphaleia,-1040.5,-480.9,0.8,POLITY,,(Ionians),Ionians - Kekryphaleia,Europe,Southern Europe,240,192,228,2026-08-21,Ionians,,"POLYGON ((23.2602 37.70206, 23.26567 37.70258, 23.26881 37.7…"
270,Keos,-650.5,-480.9,135.1,POLITY,,(Ionians),Ionians - Keos,Europe,Southern Europe,240,192,235,2026-08-21,Ionians,,"POLYGON ((24.40989 37.648, 24.41131 37.6512, 24.40956 37.655…"
271,Keria,-1040.5,-469.5,14.9,POLITY,,(Ionians),Ionians - Keria,Southwest Asia,Anatolia-Caucasus,240,194,233,2026-08-21,Ionians,,"POLYGON ((25.64156 36.88261, 25.638 36.88472, 25.62625 36.88…"
272,Kythnos,-1040.5,-480.9,99.5,POLITY,,(Ionians),Ionians - Kythnos,Europe,Southern Europe,240,192,238,2026-08-21,Ionians,,"POLYGON ((24.37522 37.30494, 24.40181 37.31514, 24.40495 37.…"
273,Leontini,-729.5,-496.5,308.4,POLITY,,(Ionians),Ionians - Leontini,Europe,Southern Europe,240,195,230,2026-08-21,Ionians,,"POLYGON ((14.9918 37.1857, 14.9794 37.1873, 14.9672 37.1904,…"
