Bao clan	OK	1 features	2026-08-21T17:32:05
Bedouins	OK	12 features	2026-08-21T17:32:05
Bell Beaker Peoples	OK	1 features	2026-08-21T17:32:05
Berbers	OK	5 features	2026-08-21T17:32:05
Bessaei	OK	1 features	2026-08-21T17:32:05
Bhagga	OK	1 features	2026-08-21T17:32:05
Bhojas	OK	1 features	2026-08-21T17:32:05
Bit Agusi	OK	12 features	2026-08-21T17:32:05
Bit-Adini	OK	4 features	2026-08-21T17:32:05
Bit-Bahiani	OK	1 features	2026-08-21T17:32:05
Bit-Halupe	OK	1 features	2026-08-21T17:32:05
Bit-Zamani	OK	2 features	2026-08-21T17:32:05
Bithynia	OK	6 features	2026-08-21T17:32:05
Biyang	OK	1 features	2026-08-21T17:32:05
Bo	OK	1 features	2026-08-21T17:32:05
Boeotia	OK	15 features	2026-08-21T17:32:05
Bosporan Kingdom	OK	16 features	2026-08-21T17:32:05
Bottiaeans	OK	6 features	2026-08-21T17:32:05
Brahmana	OK	1 features	2026-08-21T17:33:09
Bruttian League	OK	9 features	2026-08-21T17:33:09
Bruttians	OK	2 features	2026-08-21T17:33:09
Bruttii	OK	1 features	2026-08-21T17:33:09
Bu geng	OK	1 features	2026-08-21T17:33:09
Byzantium	OK	10 features	2026-08-21T17:33:09
Cai	OK	10 features	2026-08-21T17:33:09
California Peoples	OK	1 features	2026-08-21T17:33:09
Callatis	OK	1 features	2026-08-21T17:33:09
Campania	OK	5 features	2026-08-21T17:33:09
Canaanites	OK	13 features	2026-08-21T17:33:09
Cao	OK	7 features	2026-08-21T17:33:09
Carduchii	OK	1 features	2026-08-21T17:33:09
Carians	OK	3 features	2026-08-21T17:33:09
Caribbean Peoples	OK	1 features	2026-08-21T17:33:09
Carthage	OK	242 features	2026-08-21T17:33:09
Carthaginian Ally	OK	23 features	2026-08-21T17:33:09
Carthaginian Tributary	OK	13 features	2026-08-21T17:33:09
Carystus	OK	2 features	2026-08-21T17:33:09
Catane	OK	4 features	2026-08-21T17:33:09
Cedi	OK	2 features	2026-08-21T17:33:09
Celtic Mercenaries	OK	3 features	2026-08-21T17:33:09
Celto-Ligurians	OK	23 features	2026-08-21T17:33:09
Celts	OK	104 features	2026-08-21T17:33:09
Central African Peoples	OK	39 features	2026-08-21T17:33:09
Chadian People	OK	1 features	2026-08-21T17:33:09
Chalcidian League	OK	11 features	2026-08-21T17:33:09
Chalcis	OK	5 features	2026-08-21T17:33:09
Chaldaea	OK	1 features	2026-08-21T17:33:09
Changdi	OK	1 features	2026-08-21T17:33:09
Chao	OK	4 features	2026-08-21T17:33:09
Chaonia	OK	5 features	2026-08-21T17:33:09
Chaonians	OK	1 features	2026-08-21T17:33:09
Chavin Culture	OK	1 features	2026-08-21T17:33:09
Chen	OK	10 features	2026-08-21T17:33:09
Cheng	OK	2 features	2026-08-21T17:33:09
Chera	OK	1 features	2026-08-21T17:33:09
Chinchorro Culture	OK	1 features	2026-08-21T17:33:09
Chios	OK	5 features	2026-08-21T17:33:09
Chola	OK	1 features	2026-08-21T17:33:09
Chorrera Culture	OK	1 features	2026-08-21T17:33:09
Chu	OK	185 features	2026-08-21T17:33:09
Cilicia	OK	3 features	2026-08-21T17:33:09
Cimmerian Kingdom	OK	6 features	2026-08-21T17:33:09
Cimmerians	OK	14 features	2026-08-21T17:33:09
Cities	OK	2585 features	2026-08-21T17:33:09
Civil war	OK	1 features	2026-08-21T17:33:09
Colchis	OK	5 features	2026-08-21T17:33:09
Cong	OK	1 features	2026-08-21T17:33:09
Corcyra	OK	36 features	2026-08-21T17:33:09
Corinthia	OK	69 features	2026-08-21T17:33:09
Coronea	OK	1 features	2026-08-21T17:33:09
Cossaeans	OK	1 features	2026-08-21T17:33:09
Cretan City States	OK	146 features	2026-08-21T17:33:09
Croton	OK	14 features	2026-08-21T17:33:09
Cushitic People	OK	1 features	2026-08-21T17:33:09
Cypriot Kingdoms	OK	64 features	2026-08-21T17:33:09
Cyzicus	OK	1 features	2026-08-21T17:33:09
D'mt	OK	1 features	2026-08-21T17:33:09
Dai	OK	1 features	2026-08-21T17:33:09
Dai(2)	OK	1 features	2026-08-21T17:34:55
Dali	OK	1 features	2026-08-21T17:34:55
Dan	OK	1 features	2026-08-21T17:34:55
Dao	OK	1 features	2026-08-21T17:34:55
Daoi	OK	1 features	2026-08-21T17:34:55
Dapeng	OK	1 features	2026-08-21T17:34:55
Daradas	OK	1 features	2026-08-21T17:34:55
Dasarnas	OK	1 features	2026-08-21T17:34:55
Dassaretis	OK	3 features	2026-08-21T17:34:55
Daunians	OK	1 features	2026-08-21T17:34:55
Dayenu	OK	1 features	2026-08-21T17:34:55
Delian League	OK	492 features	2026-08-21T17:34:55
Deng	OK	3 features	2026-08-21T17:34:55
Desert Cultures	OK	1 features	2026-08-21T17:34:55
Di	OK	21 features	2026-08-21T17:34:55
Di(2)	OK	1 features	2026-08-21T17:34:55
Diauekhi	OK	4 features	2026-08-21T17:34:55
Dilmun	OK	1 features	2026-08-21T17:34:55
Dolopia	OK	2 features	2026-08-21T17:34:55
Domain of Amphimakhos	OK	1 features	2026-08-21T17:34:55
Domain of Antigenes	OK	1 features	2026-08-21T17:34:55
Domain of Antigonus	OK	134 features	2026-08-21T17:34:55
Domain of Asandros	OK	23 features	2026-08-21T17:34:55
Domain of Cassander	OK	226 features	2026-08-21T17:34:55
Domain of Eudemus	OK	1 features	2026-08-21T17:34:55
Domain of Eumenes	OK	6 features	2026-08-21T17:34:55
Domain of Lysimakhos	OK	8 features	2026-08-21T17:34:55
Domain of Mithridates	OK	3 features	2026-08-21T17:34:55
Domain of Oxyartes	OK	1 features	2026-08-21T17:34:55
Domain of Peithon	OK	6 features	2026-08-21T17:34:55
Domain of Peithon (son of Agenor)	OK	1 features	2026-08-21T17:34:55
Domain of Peukestas	OK	2 features	2026-08-21T17:34:55
Domain of Philip	OK	1 features	2026-08-21T17:34:55
Domain of Philoxenos	OK	2 features	2026-08-21T17:34:55
Domain of Polyperchon	OK	40 features	2026-08-21T17:34:55
Domain of Ptolemy	OK	141 features	2026-08-21T17:34:55
Domain of Seleucus	OK	20 features	2026-08-21T17:34:55
Domain of Sibyrtios	OK	2 features	2026-08-21T17:34:55
Domain of Stasandros	OK	2 features	2026-08-21T17:34:55
Domain of Stasanor	OK	2 features	2026-08-21T17:34:55
Domain of Tlepolemos	OK	2 features	2026-08-21T17:34:55
Donghu	OK	1 features	2026-08-21T17:34:55
Dongyi Peoples	OK	2 features	2026-08-21T17:34:55
Dorians	OK	155 features	2026-08-21T17:34:55
Doris	OK	2 features	2026-08-21T17:34:55
Dravidians	OK	30 features	2026-08-21T17:34:55
Du	OK	1 features	2026-08-21T17:34:55
Duan	OK	2 features	2026-08-21T17:34:55
Duchy of Jin	OK	93 features	2026-08-21T17:34:55
Dun	OK	1 features	2026-08-21T17:34:55
Dvaraka	OK	1 features	2026-08-21T17:34:55
E	OK	6 features	2026-08-21T17:34:55
