Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
33,Roman Republic,-385.5,-383.5,2322.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
34,Roman Republic,-383.5,-381.6,2219.1,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
35,Roman Republic,-381.6,-381.3,2186.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
36,Roman Republic,-381.3,-380.1,2229.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
37,Roman Republic,-380.1,-377.4,2340.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
38,Roman Republic,-377.4,-371.5,2453.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
39,Roman Republic,-371.5,-367.5,2342.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
40,Roman Republic,-367.5,-361.7,2453.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
41,Roman Republic,-361.7,-358.6,2471.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.22381 41.75536, 12.21964 41.76019, 12.218…"
42,Roman Republic,-358.6,-357.7,2453.3,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
43,Roman Republic,-357.7,-355.5,2292.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
44,Roman Republic,-355.5,-353.5,2313.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
45,Roman Republic,-353.5,-348.5,2654.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.22381 41.75536, 12.21964 41.76019, 12.218…"
46,Roman Republic,-348.5,-347.7,2687.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.22381 41.75536, 12.21964 41.76019, 12.218…"
47,Roman Republic,-347.7,-341.2,2542.1,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.21695 41.74811, 12.22381 41.75536, 12.219…"
48,Roman Republic,-341.2,-340.2,2600.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.5267 41.6767, 12.5267 41.6708, 12.5233 41…"
49,Roman Republic,-340.2,-338.5,4245.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.5267 41.6767, 12.5267 41.6708, 12.5233 41…"
50,Roman Republic,-338.5,-334.5,7634.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.67208 41.45675, 12.66728 41.45889, 12.656…"
51,Roman Republic,-334.5,-320.4,8025.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"POLYGON ((12.72139 41.43881, 12.70103 41.44897, 12.68358 41.…"
52,Roman Republic,-320.4,-315.6,8451.0,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
53,Roman Republic,-315.6,-313.3,8111.1,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
54,Roman Republic,-313.3,-312.3,8025.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"POLYGON ((12.72139 41.43881, 12.70103 41.44897, 12.68358 41.…"
55,Roman Republic,-312.3,-303.5,8097.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
56,Roman Republic,-303.5,-303.4,8737.6,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
57,Roman Republic,-303.4,-293.5,10674.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
58,Roman Republic,-293.5,-293.2,10513.5,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
59,Roman Republic,-293.2,-290.2,10674.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
60,Roman Republic,-290.2,-283.4,17479.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
61,Roman Republic,-283.4,-282.6,20071.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
62,Roman Republic,-282.6,-282.4,20270.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
63,Roman Republic,-282.4,-282.3,20604.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
64,Roman Republic,-282.3,-281.2,20405.9,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
65,Roman Republic,-281.2,-280.4,20604.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
66,Roman Republic,-280.4,-280.3,20071.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
67,Roman Republic,-280.3,-278.9,20225.8,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
68,Roman Republic,-278.9,-273.5,20071.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
69,Roman Republic,-273.5,-272.5,20944.7,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
70,Roman Republic,-272.5,-268.6,21145.4,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.72139 41.43881, 12.70103 41.44897, 12.683…"
71,Roman Republic,-268.6,-268.5,25178.6,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
72,Roman Republic,-268.5,-267.5,25002.1,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
73,Roman Republic,-267.5,-264.6,26737.2,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.70103 41.44897, 12.68358 41.45567, 12.672…"
74,Roman Republic,-264.6,-263.5,28974.7,POLITY,,,240,240,160,2026-08-16,Roman Republic,"MULTIPOLYGON (((12.66728 41.45889, 12.65603 41.45883, 12.65 …"
