Index,Name,FromYear,ToYear,Area,Type,References,MemberOf,ColorR,ColorG,ColorB,Generated,SourceRun,geometry
34,Roman Ally,-290.2,-286.5,70653.4,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
35,Roman Ally,-286.5,-283.5,68061.9,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
36,Roman Ally,-283.5,-280.6,41058.7,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
37,Roman Ally,-280.6,-280.4,46195.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
38,Roman Ally,-280.4,-278.3,35225.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
39,Roman Ally,-278.3,-277.5,35595.6,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
40,Roman Ally,-277.5,-277.4,36730.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
41,Roman Ally,-277.4,-276.5,37609.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
42,Roman Ally,-276.5,-276.1,36474.6,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
43,Roman Ally,-276.1,-274.5,35595.6,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
44,Roman Ally,-274.5,-273.5,36730.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
45,Roman Ally,-273.5,-272.5,36735.9,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
46,Roman Ally,-272.5,-269.8,37961.5,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
47,Roman Ally,-269.8,-267.5,33928.3,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.092 41.523, 13.0958 41.5063, 13.0935 41.4…"
48,Roman Ally,-267.5,-266.9,77854.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
49,Roman Ally,-266.9,-266.5,71771.3,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0958 41.5063, 13.0935 41.4873, 13.0868 41…"
50,Roman Ally,-266.5,-263.5,91295.2,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.9647 41.934, 12.9399 41.9402, 12.9027 41.…"
51,Roman Ally,-263.5,-263.3,92154.3,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.8953 41.613, 12.8859 41.6265, 12.887 41.6…"
52,Roman Ally,-263.3,-258.3,97106.7,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0935 41.4873, 13.0868 41.4731, 13.0768 41…"
53,Roman Ally,-258.3,-1.0,96163.9,POLITY,,,248,208,112,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.0935 41.4873, 13.0868 41.4731, 13.0768 41…"
54,Aequi,-304.5,-303.4,1584.6,POLITY,,(Roman Ally),248,210,114,2026-08-16,Roman Ally,"MULTIPOLYGON (((12.967 42.1436, 13.018 42.1601, 13.0829 42.1…"
55,Aequi,-303.4,-302.7,785.7,POLITY,,(Roman Ally),248,210,114,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.52656 42.29392, 13.53372 42.2807, 13.5420…"
56,Aequi,-302.5,-290.2,785.7,POLITY,,(Roman Ally),248,210,114,2026-08-16,Roman Ally,"MULTIPOLYGON (((13.52656 42.29392, 13.53372 42.2807, 13.5420…"
