Search Term,Date From,Date To,Center Lat,Center Lon,
guatemala,1990,,15,-90,
guinea,1990,,10,-12.5,
guinea bissau,1990,,12.5,-15,
guyana,1990,,5,-60,
haiti,1990,,20,-72.5,
honduras,1990,,15,-85,
jamaica,1990,,17.5,-77.5,
kiribati,1990,,-5,2.5,
kyrgyzstan,1990,,40,74.5,
leichtenstein,1990,,47.5,9,
lesotho,1990,,-30,27.5,
liberia,1990,,5,-10,
macedonia,1990,,42.5,21,
malawi,1990,,-12.5,35,
maldives,1990,,2.5,72.5,
malta,1990,,37.5,12.5,
marshall islands,1990,,7.5,167.5,
mauritania,1990,,20,-10,
mauritius,1990,,-17.5,60,
micronesia,1990,,10,150,
namibia,1990,,-22.5,20,
nauru,1990,,-2.5,167.5,
new zealand,1990,,-30,8,
nicaragua,1990,,15,-85,
niger,1990,,17.5,10,
palau,1990,,5,132.5,
panama,1990,,7.5,-80,
papua new guinea,1990,,-7.5,150,
paraguay,1990,,-22.5,-57.5,
rwanda,1990,,-2.5,30,
samoa,1990,,-12.5,-172.5,
san marino,1990,,42.5,15,
senegal,1990,,15,-15,
seychelles,1990,,-7.5,52.5,
sierra leone,1990,,10,-12.5,
singapore,1990,,2.5,102.5,
solomon islands,1990,,-10,162.5,
spratly islands,1990,,10,115,
st. kitts and nevis,1990,,17.5,-62.5,
st. lucia,1990,,12.5,-62.5,
st. vincent and the grenadines,1990,,12.5,-62.5,
suriname,1990,,5,-55,
swaziland,1990,,-27.5,32.5,
são tomé and príncipe,1990,,0,7.5,
taiwan,1990,,25,120,
tajikistan,1990,,40,72.5,
the netherlands,1990,,32.5,-33.5,
togo,1990,,10,0,
tonga,1990,,-20,5,
trinidad and tobago,1990,,12.5,-62.5,
turkmenistan,1990,,40,59,
turks and caicos islands,1990,,22.5,-72.5,
tuvalu,1990,,-7.5,177.5,
uganda,1990,,0,32.5,
united arab emirates,1990,,25,55,
uruguay,1990,,-35,-55,
vanuatu,1990,,-17.5,170,
yugoslavia,1990,,45,21,
zaire,1990,,-2.5,22.5,
europe,,,53,10,
akkad,,,34,44.5,DELETE
babylon,,,32.5,44.5,DELETE
assyria,,,36,43,DELETE
nineveh,,,36.5,43.5,DELETE
carthage (city),,,36.5,10,DELETE
north africa,,,26.5,9.5,
sub-saharan africa,,,-7.5,17,
horn of africa,,,10,45,
indus valley,,,29,72,
caucasus,,,41,44,
central asia,,,45,67.5,
assyrian revolt,,,35,42.5,
celtic mercenaries,,,40,26.5,
clan warfare,,,37.5,117.5,
dayenu,,,37.5,42.5,
delphi,,,37.5,22.5,
domain of philoxenos,,,37.5,35,
egypt: revolt of amasis,,,32.5,27.5,
greek mercenaries,,,35,32.5,
ji(5),,,40,117,
kuai,,,32.5,112.5,
lullubi,,,37.5,45,
mercenaries of bithynia,,,42.5,30,
mercenaries under amyntas,,,30,35,
mercenaries under harpalus,,,37.5,27.5,
mercenaries under leosthenes,,,37.5,22.5,
mercenaries under phalaecus,,,37.5,25,
mercenaries under thibron,,,35,22.5,
mutinous troops,,,42.5,15,
nairi,,,37.5,42.5,
parthia,,,35,57.5,
persian revolt,,,30,57.5,
pirate mercenaries,,,40,29,
pirates,,,37.5,25,
plebian secession,,,42.5,15,
revolt of antigonus,,,37.5,30,
revolt of antipater,,,40,24,
revolt of cyrus the younger,,,35,35,
revolt of luan,,,37.5,112.5,
revolt of lysimachus,,,42.5,24,
revolt of ptolemy,,,30,27.5,
zahara,,,30,52.5,
