Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
palestine,1990,1990,31.5,35.0,https://www.worldhistory.org/palestine/,,https://en.wikipedia.org/wiki/State_of_Palestine,
jordan,1990,1990,31.5,37.5,https://www.worldhistory.org/Jordan/,,https://en.wikipedia.org/wiki/Jordan,
syria,1990,1990,35.0,39.5,https://www.worldhistory.org/syria/,,https://en.wikipedia.org/wiki/Syria,
lebanon,1990,1990,34.0,36.0,https://www.worldhistory.org/Lebanon/,,https://en.wikipedia.org/wiki/Lebanon,
iraq,1990,1990,33.5,43.5,https://www.worldhistory.org/Iraq/,,https://en.wikipedia.org/wiki/Iraq,
iran,1990,1990,32.5,54.0,https://www.worldhistory.org/Iran/,,https://en.wikipedia.org/wiki/Iran,
saudi arabia,1990,1990,24.0,46.0,https://www.worldhistory.org/Saudi_Arabia/,,https://en.wikipedia.org/wiki/Saudi_Arabia,
yemen,1990,1990,15.5,49.0,https://www.worldhistory.org/Yemen/,,https://en.wikipedia.org/wiki/Yemen,
oman,1990,1990,20.5,56.0,https://www.worldhistory.org/Oman/,,https://en.wikipedia.org/wiki/Oman,
uae,1990,1990,24.5,53.5,,,https://en.wikipedia.org/wiki/United_Arab_Emirates,
kuwait,1990,1990,29.5,48.0,,,https://en.wikipedia.org/wiki/Kuwait,
qatar,1990,1990,25.5,51.0,,,https://en.wikipedia.org/wiki/Qatar,
bahrain,1990,1990,26.0,50.5,,,https://en.wikipedia.org/wiki/Bahrain,
afghanistan,1990,1990,34.0,68.0,https://www.worldhistory.org/Ancient_Afghanistan/,,https://en.wikipedia.org/wiki/Afghanistan,
pakistan,1990,1990,30.0,69.5,https://www.worldhistory.org/Pakistan/,,https://en.wikipedia.org/wiki/Pakistan,
morocco,1990,1990,31.5,-6.0,https://www.worldhistory.org/Morocco/,,https://en.wikipedia.org/wiki/Morocco,
algeria,1990,1990,28.0,1.5,https://www.worldhistory.org/Algeria/,,https://en.wikipedia.org/wiki/Algeria,
libya,1990,1990,26.5,17.5,https://www.worldhistory.org/Libya/,,https://en.wikipedia.org/wiki/Libya,
tunisia,1990,1990,34.0,9.5,https://www.worldhistory.org/Tunisia/,,https://en.wikipedia.org/wiki/Tunisia,
sudan,1990,1990,15.5,31.0,https://www.worldhistory.org/Sudan/,,https://en.wikipedia.org/wiki/Sudan,
ethiopia,1990,1990,10.5,40.5,https://www.worldhistory.org/Ethiopia/,,https://en.wikipedia.org/wiki/Ethiopia,
