Search Term,Date From,Date To,Center Lat,Center Lon
bhojas,-322,-302,22.5,77.5
bhutan,1990,,27.5,90.0
bit agusi,-900,-606,37.5,37.5
bit-adini,-1076,-857,37.5,37.5
bit-bahiani,-1076,-896,37.5,40.0
bit-halupe,-1076,-894,37.5,40.0
bit-zamani,-1026,-882,37.5,40.0
bithynia,-323,-1,42.5,30.3
bithynians,-696,-552,42.5,29.6
biyang,-770,-564,32.5,117.5
bo,-770,-640,32.5,112.5
boeotia,-730,-288,37.5,22.5
bolivia,1990,,-15.0,-62.5
bosnia and herzegovina,1990,,45.0,18.0
bosporan kingdom,-480,-1,46.7,37.3
botswana,1990,,-22.5,22.5
bottiaeans,-650,-650,42.5,21.0
brahmana,-610,-468,27.5,82.5
brazil,1990,,-12.5,-50.0
brunei,1990,,5.0,115.0
bruttian league,-356,-268,38.4,17.0
bruttians,-450,-400,37.5,17.5
bruttii,-500,-436,37.5,17.5
bu geng,-770,-534,32.5,112.5
bulgaria,1990,,42.5,24.0
burkina faso,1990,,12.5,-2.5
burundi,1990,,-2.5,30.0
byzantium,-356,-1,42.5,27.0
cai,-770,-448,32.5,114.8
california peoples,-2400,-1,37.0,-120.6
callatis,-360,-1,42.5,27.0
cambodia,1990,,12.5,105.0
cameroon,1990,,7.5,12.5
campania,-438,-343,42.5,15.0
campanians,-370,-345,37.5,12.5
canaanites,-1850,-1146,32.5,35.9
canada,1990,,62.5,-97.5
cao,-770,-488,35.1,116.6
cape verde,1990,,15.0,-25.0
carduchii,-386,-384,37.5,42.5
carians,-1202,-544,37.5,27.5
caribbean peoples,-2400,-1,16.4,-72.5
carthage,-602,-1,37.2,11.4
carthaginian ally,-500,-256,35.5,5.5
carthaginian tributary,-405,-376,37.5,12.5
carystus,-386,-294,37.5,22.5
catane,-462,-270,37.5,14.6
caucasians,-2400,-690,39.9,42.1
cedi,-825,-320,25.2,80.3
celtic mercenaries,-277,-273,41.4,23.6
celto-ligurians,-2050,-1,49.1,5.2
celts,-1250,-1,44.4,17.1
central african peoples,-2400,-1,2.7,22.2
central african republic,1990,,7.5,20.0
chad,1990,,15.0,17.5
chadian people,-2250,-1,13.9,12.3
chalcidian league,-422,-353,41.9,24.1
chalcis,-710,-294,37.5,22.5
chaldaea,-800,-790,31.5,46.5
changdi,-770,-608,37.5,117.5
chao,-992,-602,32.5,117.5
chaonia,-431,-350,38.3,20.0
chaonians,-500,-431,42.5,21.0
chavin culture,-900,-1,-11.0,-76.5
chen,-770,-480,32.5,114.6
cheng,-770,-408,37.5,115.8
chera,-326,-1,10.0,77.5
chile,1990,,-37.5,-87.0
china,1990,,35.0,104.0
chinchorro culture,-2400,-1,-18.5,-69.5
chios,-386,-1,37.5,27.5
chola,-326,-1,12.5,80.0
chorrera culture,-1300,-1,-2.5,-80.8
chu,-1075,-1,31.6,116.8
cilicia,-588,-539,37.5,34.4
cimmerian kingdom,-654,-638,38.5,32.7
cimmerians,-1450,-1,44.0,35.5
civil war,-548,-314,37.5,82.5
clan warfare,-547,-532,37.5,117.5
colchis,-1250,-1,42.5,41.6
colombia,1990,,5.0,-75.0
comoros,1990,,-12.5,45.0
cong,-770,-600,32.5,107.5
congo,1990,,-2.5,15.0
corcyra,-666,-300,38.8,20.0
corinthia,-748,-339,38.3,20.3
coronea,-386,-379,37.5,22.5
cossaeans,-330,-324,32.5,47.5
costa rica,1990,,10.0,-85.0
cretan city states,-500,-1,36.6,25.2
croatia,1990,,45.0,18.0
croton,-550,-430,37.5,17.5
cuba,1990,,20.0,-77.5
cushitic people,-1000,-1,6.0,43.9
cypriot kingdoms,-1180,-1050,34.9,32.5
cyprus,1990,,35.0,32.5
cyzicus,-323,-280,42.5,27.0
czech republic,1990,,50.0,16.0
côte d'ivoire,1990,,7.5,-5.0
d'mt,-980,-1,17.3,40.9
dai,-770,-458,41.0,113.5
dai(2),-770,-714,32.5,115.0
dali,-550,-272,37.5,107.5
dan,-770,-670,29.9,107.5
dao,-770,-638,32.5,112.5
daoi,-330,-1,41.6,54.0
dapeng,-1350,-1208,32.5,117.5
daradas,-610,-1,37.5,72.5
dardani,-800,-1,42.5,21.0
dasarnas,-610,-350,22.5,77.5
dassaretis,-500,-400,42.5,21.0
daunians,-800,-324,42.5,15.0
dayenu,-735,-734,37.5,42.5
delian league,-478,-405,38.4,24.5
delphi,-449,-448,37.5,22.5
deng,-772,-678,32.5,112.5
denmark,1990,,67.5,-37.0
desert cultures,-2400,-1,32.4,-108.6
di,-771,-408,37.2,113.1
di(2),-771,-362,32.5,105.0
diauekhi,-931,-592,41.0,42.1
dilmun,-2400,-1550,27.2,50.7
djibouti,1990,,12.5,42.5
dolopia,-696,-276,37.5,22.5
domain of amphimakhos,-320,-317,35.5,41.3
domain of antigenes,-320,-317,30.8,49.1
domain of antigonus,-319,-306,36.5,34.7
domain of asandros,-320,-315,37.5,27.6
domain of cassander,-320,-306,38.5,23.1
domain of eudemus,-320,-316,31.4,73.2
domain of eumenes,-317,-316,33.8,52.8
domain of lysimakhos,-314,-306,42.9,26.5
domain of mithridates,-301,-281,41.6,33.8
domain of oxyartes,-320,-308,34.1,70.8
domain of peithon,-320,-317,35.2,53.9
domain of peithon (son of agenor),-320,-316,23.9,67.7
domain of peukestas,-320,-316,28.6,53.0
domain of philip,-320,-318,34.9,57.5
domain of philoxenos,-320,-319,37.5,34.5
domain of polyperchon,-317,-315,37.5,22.9
domain of ptolemy,-320,-306,32.7,31.6
domain of seleucus,-320,-306,31.4,55.2
domain of sibyrtios,-320,-306,29.6,65.3
domain of stasandros,-320,-316,33.1,61.8
domain of stasanor,-320,-306,36.8,64.6
domain of tlepolemos,-320,-316,30.8,58.4
dominica,1990,,17.5,-62.5
dominican republic,1990,,17.5,-70.0
donghu,-770,-1,44.9,120.0
dongyi peoples,-1500,-770,37.5,121.5
dorians,-1224,-1,37.4,25.2
doris,-696,-268,37.5,22.5
dravidians,-2400,-1,20.4,80.1
du,-771,-688,32.5,107.5
duan,-744,-722,33.3,112.5
duchy of jin,-678,-350,36.0,113.0
dun,-770,-496,32.5,115.0
dvaraka,-610,-318,22.5,69.5
e,-862,-700,30.8,114.6
east african peoples,-2400,-1,6.1,44.0
eastern guo,-772,-768,32.5,112.5
eastern woodland peoples,-2400,-1,41.2,-80.5
ecuador,1990,,0.0,-85.0
edomites,-1280,-526,30.4,35.4
egypt,1990,,27.5,30.0
egypt: (herakleopolis),-756,-726,27.5,32.5
egypt: (hermopolis),-756,-726,27.5,32.5
egypt: areas of unrest,-1992,-410,30.8,32.5
egypt: heracleopolitans,-2400,-2160,30.8,32.5
egypt: hyksos,-1720,-1566,30.9,32.4
egypt: middle kingdom,-2003,-1662,29.8,31.9
egypt: new kingdom,-1568,-1086,30.7,34.2
egypt: old kdm,-2400,-2400,30.8,32.5
egypt: rebellion of pedubast,-830,-828,26.6,32.5
egypt: revolt of amasis,-572,-571,32.5,27.5
egypt: tanites,-1086,-945,32.3,32.5
egypt: thebans,-2151,-1568,28.9,32.4
egypt: thirtieth dynasty,-380,-342,31.2,32.4
egypt: twenty eighth dynasty,-402,-399,30.7,32.3
egypt: twenty fourth dynasty,-716,-714,32.2,32.4
egypt: twenty ninth dynasty,-399,-380,30.7,32.3
egypt: twenty second dynasty,-946,-720,30.5,32.6
egypt: twenty sixth dynasty,-652,-526,31.1,32.8
egypt: twenty sixth dynasty tributary,-610,-606,32.5,35.6
egypt: twenty third dynasty,-880,-756,26.9,32.5
el paraiso culture,-2000,-900,-10.6,-76.3
el salvador,1990,,12.5,-90.0
elam,-2400,-520,31.4,48.7
elamite tributary,-1770,-694,34.2,44.6
elimiotis,-540,-358,42.5,21.0
elis,-726,-1,37.5,22.5
ellipi,-970,-703,32.5,47.5
elymians,-1150,-500,37.5,12.5
enchele,-650,-500,42.5,21.0
enzite,-931,-802,37.5,40.0
eordaia,-540,-476,42.5,21.0
epicnemidian locris,-696,-264,38.6,22.2
epidauria,-780,-670,37.5,22.5
epirote ally,-278,-277,39.6,16.6
equatorial guinea,1990,,0.0,10.0
er,-770,-700,32.5,112.5
eretria,-710,-294,37.5,22.7
eriakhi,-880,-704,42.5,45.0
erikuakhi,-880,-706,40.1,43.8
eritrea,1990,,15.0,40.0
erligang culture,-1600,-1400,37.1,109.6
erlitou culture,-1900,-1600,37.2,110.1
estonia,1990,,57.5,24.0
ethiopia,1990,,7.5,40.0
etiukhi,-931,-710,40.1,43.8
etiuni,-880,-704,42.5,45.0
etruria,-760,-266,42.5,13.2
etruscans,-1725,-516,42.7,11.0
euboea,-447,-446,37.5,22.5
fan,-770,-504,32.5,117.5
fan clan,-500,-491,37.5,112.5
fan(2),-770,-660,37.5,112.5
fang,-770,-638,32.5,112.5
fei,-770,-530,37.5,115.0
feng,-771,-550,32.5,107.5
fiji,1990,,-17.5,180.0
finland,1990,,65.0,25.0
finns,-2400,-1,58.1,43.9
france,1990,,0.0,15.0
gabon,1990,,0.0,10.0
gambia,1990,,12.5,-15.0
gandhara,-975,-518,33.1,73.1
gao,-770,-722,32.5,117.5
gao clan,-500,-490,37.5,117.5
gaoluo,-770,-660,37.5,112.5
garamantes,-500,-1,27.5,20.0
ge,-1750,-594,32.5,117.5
gedrosia,-330,-325,29.4,61.5
gela,-506,-311,37.5,15.1
geng,-770,-662,37.5,112.5
genmou,-770,-600,37.5,117.5
georgia,1990,,42.5,42.0
germany,1990,,52.5,9.0
geshur,-1152,-988,32.5,37.5
getae,-470,-1,44.0,27.0
ghana,1990,,7.5,0.0
gilead,-1152,-740,32.5,37.5
gilzanu,-864,-714,37.5,42.5
gojoseon,-770,-280,39.3,122.7
gong,-770,-280,32.2,109.9
gong(2),-770,-670,27.5,107.5
great chiefs of the meshwesh,-746,-726,32.5,32.5
greco-bactrian kingdom,-256,-1,37.5,65.4
greece,1990,,37.5,22.5
greek alliance,-481,-478,37.6,25.5
greek mercenaries,-333,-332,36.0,31.8
greeks,-631,-630,38.9,33.5
grenada,1990,,12.5,-62.5
gu,-1750,-700,34.9,114.9
gu(2),-770,-520,37.5,117.5
guang,-770,-650,32.5,115.0
guatemala,1990,,15.0,-90.0
gui,-771,-688,32.5,107.5
guifang,-1400,-1,40.4,103.6
guinea,1990,,10.0,-12.5
guinea bissau,1990,,12.5,-15.0
guo,-770,-670,37.5,117.5
guo clan,-500,-490,37.5,117.5
gurgum,-1190,-605,37.5,37.5
guti,-2400,-2120,34.5,46.2
guti tributary,-2193,-2120,32.5,46.1
guyana,1990,,5.0,-60.0
guzanu,-810,-758,37.5,40.0
guzhu,-770,-662,40.1,117.2
haihayas,-610,-550,22.5,75.0
haiti,1990,,20.0,-72.5
haliartos,-386,-379,37.5,22.5
hamaranu,-812,-746,32.5,44.2
han,-770,-616,32.5,117.5
han(2),-770,-758,37.5,112.5
hann,-453,-1,33.8,112.9
hann clan,-500,-453,34.9,112.5
hapalla,-1396,-1386,37.5,32.5
harhar,-970,-737,32.5,46.2
harshi,-1986,-1600,34.9,45.0
hattians,-2400,-1862,38.2,34.7
hellenic league,-323,-322,37.8,23.1
helmand and jiroft cultures,-2400,-1750,30.3,62.4
helot revolt,-466,-457,37.5,22.5
heraklea pontica,-274,-1,42.5,33.0
hermionis,-780,-670,37.5,22.5
hernici,-600,-359,42.5,15.0
hilakku,-836,-636,37.5,32.5
himera,-472,-409,37.5,13.5
hindanu,-1120,-612,34.2,40.8
hittites,-2400,-1180,38.6,33.1
honduras,1990,,15.0,-85.0
hu,-770,-496,32.5,117.5
hu(2),-770,-764,32.5,112.5
hu(3),-770,-764,32.5,112.5
hua,-770,-627,32.5,112.5
huaiyi,-770,-512,34.1,119.2
huaiyi peoples,-1500,-584,32.5,119.4
huang,-770,-648,32.5,114.2
hubushkia,-864,-698,37.5,42.5
hungary,1990,,47.5,18.0
huo,-770,-662,37.5,112.5
hupis(h)na,-827,-738,37.5,32.5
hurrian kingdom,-1616,-1346,37.5,40.4
hurrian kingdoms,-2400,-1826,37.5,41.7
hurrians,-2400,-864,37.4,41.4
iapygii,-500,-318,42.5,15.0
iberians,-1725,-1,41.2,1.6
iceland,1990,,65.0,-23.0
idamaraz,-1742,-1616,35.4,42.5
ikshvakus,-364,-362,27.5,82.5
illyrian kingdom,-279,-1,42.0,21.1
illyrian tributary,-372,-370,42.5,21.0
illyrians,-2400,-1,42.7,18.6
illyrioi,-500,-1,42.5,15.0
imbros,-282,-1,42.5,27.0
india,1990,,22.5,82.5
indo-aryans,-1500,-300,25.8,75.8
indonesia,1990,,-2.5,120.0
indus valley civilization,-2400,-1750,23.4,69.0
indus valley peoples,-2400,-775,25.2,69.7
ionian league,-690,-478,38.3,27.5
ionians,-1202,-1,39.6,24.9
iran,1990,,32.5,52.5
iranians,-2400,-532,39.7,62.6
iraq,1990,,32.5,42.5
ireland,1990,,55.0,-8.0
ishtu(a)nda,-827,-738,37.5,37.5
israel,1990,,30.0,35.0
israel/samaria,-932,-720,32.5,36.9
israelites,-1230,-1036,32.4,36.7
istros,-360,-314,44.1,27.0
isuwa,-1506,-1434,37.5,40.0
itabalhum,-1850,-1600,37.5,45.0
italics,-2050,-450,42.1,14.5
italiote league,-430,-274,40.2,16.4
italy,1990,,42.5,14.5
jamaica,1990,,17.5,-77.5
japan,1990,,35.0,137.5
ji,-770,-658,37.5,112.5
ji(2),-770,-690,37.5,117.5
ji(3),-770,-722,34.9,117.5
ji(4),-770,-750,32.5,112.5
ji(5),-770,-770,40.1,117.2
ji(6),-771,-688,32.5,107.5
jia,-770,-678,37.5,112.5
jiang,-770,-624,32.5,112.5
jiang qi,-481,-386,37.5,117.5
jiang(2),-770,-618,32.5,117.5
jiao,-770,-700,32.5,112.5
jie,-770,-600,37.5,117.5
jin,-770,-678,36.0,112.5
jomon culture,-2400,-1,35.9,137.3
jordan,1990,,30.0,35.0
ju,-770,-432,36.8,117.8
