Search Term,Date From,Date To,Center Lat,Center Lon
malla,-750,-364,27.5,84.2
malta,1990,,37.5,12.5
mama,-1850,-1644,37.5,37.5
mamertine mercenaries,-289,-288,37.5,17.5
mamertines,-288,-263,37.5,16.1
manchurian peoples,-2400,-1,47.1,127.5
mannaea,-843,-608,37.5,46.5
manshi,-770,-492,32.5,112.5
mantineia,-423,-268,37.5,22.5
mao,-771,-688,32.5,107.5
mao(2),-770,-560,34.9,117.5
margiana,-522,-328,34.9,65.0
marrucini,-438,-304,42.5,15.0
marshall islands,1990,,7.5,167.5
marsi,-492,-304,42.5,15.0
masa,-1536,-1228,39.0,31.0
masaesyli,-310,-1,34.9,2.5
massagetai,-330,-1,42.5,62.9
massylii,-310,-1,35.8,7.5
matsya,-925,-318,27.5,75.5
mauritania,1990,,20.0,-10.0
mauritius,1990,,-17.5,60.0
maurya,-324,-322,31.1,75.2
maurya empire,-322,-1,23.7,81.4
maya,-1000,-1,17.5,-89.7
medes,-800,-674,35.2,50.1
media,-713,-522,37.1,45.7
median vassal,-586,-550,29.5,53.0
megalopolis,-300,-272,37.5,22.5
megaris,-744,-268,39.5,23.6
mercenaries of bithynia,-279,-278,42.5,29.0
mercenaries under agathocles,-326,-316,37.5,15.3
mercenaries under amyntas,-333,-333,31.6,33.3
mercenaries under cleonymus,-304,-302,40.9,17.4
mercenaries under harpalus,-324,-324,37.5,26.5
mercenaries under leosthenes,-324,-323,37.5,22.5
mercenaries under phalaecus,-344,-344,37.5,25.5
mercenaries under thibron,-324,-324,34.9,22.5
mercenaries under xanthippus,-256,-256,37.5,17.5
mesoamerican peoples,-2400,-1,14.8,-88.0
messapians,-800,-268,42.0,16.7
messapii,-500,280,41.0,17.9
messenia,-770,-1,37.5,21.4
mexico,1990,,22.5,-102.5
mianzhu,-771,-362,32.5,107.5
micronesia,1990,,10.0,150.0
middle assyrian empire,-1346,-1076,35.2,42.0
minoans,-2000,-1488,36.0,25.2
mithila,-364,-364,27.5,85.0
mixtecs,-1500,-1,17.5,-97.5
moabites,-1280,-587,32.5,37.5
moldova,1990,,47.5,30.0
molossis,-431,-350,40.4,21.6
mongolia,1990,,47.5,102.0
moriya,-610,-468,27.5,82.5
morocco,1990,,30.0,-10.0
mou,-770,-650,37.5,117.5
mozambique,1990,,-20.0,37.5
mulaka,-610,-302,17.5,75.0
musasir,-735,-724,37.5,45.0
musicanus,-338,-325,27.5,67.5
musri,-900,-826,37.5,37.5
mutibas,-610,-600,17.5,80.0
mutinous troops,-342,-342,42.5,15.0
myanmar,1990,,17.5,97.5
mycenaean kingdoms,-1220,-1210,37.5,23.8
mycenaeans,-1506,-1100,37.3,24.9
mysians,-1000,-542,38.9,27.4
nabataean kingdom,-331,-1,29.9,35.3
nabataeans,-843,-526,28.3,37.5
nairi,-860,-860,37.5,42.5
namibia,1990,,-22.5,20.0
namri,-852,-738,34.4,47.0
nanda empire,-356,-322,24.9,81.0
nanyan,-770,-640,37.5,112.5
nauru,1990,,-2.5,167.5
naxos,-466,-404,37.5,17.5
neo assyrian empire,-911,-608,34.0,39.6
neo assyrian revolt,-828,-520,34.1,44.2
neo assyrian tributary,-896,-612,33.2,38.4
neo babylonian empire,-616,-550,33.5,38.5
neo babylonian empire tributary,-606,-554,32.1,36.2
neo-assyrian empire,-906,-608,35.9,42.5
neo-babylonian empire,-616,-539,33.3,39.9
nepal,1990,,30.0,85.0
new hittite kingdom,-1368,-1336,38.2,34.2
new zealand,1990,,-30.0,8.0
ni,-770,-335,34.9,117.5
nicaragua,1990,,15.0,-85.0
niger,1990,,17.5,10.0
nigeria,1990,,7.5,7.5
nilotic peoples,-1000,-1,9.3,30.7
nok people,-1500,-1,10.7,6.6
norte chico civilization,-2400,-1800,-8.7,-77.5
north arabian semites,-500,-1,29.9,42.5
north korea,1990,,40.0,126.0
northern league,-282,-274,42.5,27.9
northern zone peoples,-1400,-1000,36.8,109.4
northwest coast peoples,-2400,-1,55.3,-131.7
norway,1990,,15.0,15.0
nu,-770,-600,29.9,107.5
nubia,-1086,-776,22.5,32.5
nubians,-2400,-1,19.6,33.6
nuhashshi,-1351,-1336,37.5,37.5
numidians,-1000,-1,34.7,2.9
odra,-610,-344,22.5,85.0
odrysia,-360,-1,42.5,26.4
odrysian kingdom,-476,-342,42.0,25.8
oetaea,-696,-274,37.5,22.5
old hittite kingdom,-1760,-1438,38.1,35.8
olmecs,-1250,-1,17.5,-95.0
oman,1990,,22.5,55.0
opuntian locris,-696,-272,37.5,22.5
oreitai,-330,-325,26.9,67.5
orestis,-540,-476,42.5,21.0
oxycanus,-338,-325,27.5,70.0
ozolian locris,-696,-379,37.5,18.8
paeligni,-438,-304,42.5,15.0
paeonia,-352,-260,42.5,21.0
paeonians,-850,-340,42.5,21.0
paiones,-500,-356,42.5,21.0
pakistan,1990,,30.0,70.0
pala,-1536,-1382,42.5,33.0
palau,1990,,5.0,132.5
paleosiberians,-2400,-1,63.6,112.9
pampas cultures,-2400,-1,-37.9,-64.6
pamphylians,-1000,-558,37.5,32.5
panama,1990,,7.5,-80.0
panchala,-826,-610,27.9,79.2
pandya,-326,-1,10.0,77.5
paphlagonia,-323,-1,40.6,32.8
papua new guinea,1990,,-7.5,150.0
papuans,-1600,-1,-4.9,140.6
paraguay,1990,,-22.5,-57.5
parauaea,-431,-350,42.5,21.0
pardabathra,-338,-325,22.9,67.5
parsua,-860,-744,34.9,45.0
parthia,-522,-521,35.8,57.0
pashime,-2400,-1346,28.2,52.1
patagonian peoples,-2400,-1,-49.5,-72.0
patin (unqi),-1190,-605,37.5,37.5
paurava,-338,-326,32.5,72.5
pelagonia,-540,-476,42.5,21.0
pelasgians,-2400,-1506,37.5,23.2
peloponnesian league,-426,-366,38.3,24.3
peng,-770,-650,32.5,115.0
pengzhi,-771,-698,32.5,110.0
pergamon,-262,-1,37.5,27.5
persia,-653,-550,29.2,53.0
persian empire,-550,-1,35.2,36.7
persian revolt,-522,-521,29.4,54.0
persian vassal,-492,-410,37.7,23.0
peru,1990,,-10.0,-75.0
peucetians,-800,-268,42.5,15.0
pharsalos,-406,-375,37.5,22.5
pherae,-406,-345,37.7,22.4
philippines,1990,,12.5,122.5
philistia,-1020,-604,32.5,34.7
philistines,-1180,-1020,32.5,36.6
phlius,-656,-338,37.5,22.5
phocis,-696,-1,37.5,21.6
phoenicians,-1146,-602,34.5,21.3
phrygian kingdom,-1120,-654,39.8,31.4
phrygians,-1224,-586,40.3,31.2
pi,-770,-416,32.5,117.5
piceni,-500,-438,42.5,15.0
picentes,-800,-438,42.5,15.0
picenum,-438,-269,42.5,15.0
ping zhou,-771,-550,32.5,107.5
pirate mercenaries,-276,-274,38.9,30.6
pirates,-345,-344,37.5,25.0
pisatis,-684,-572,37.5,22.5
pisidians,-558,-1,37.5,32.5
pitassa,-1546,-1432,37.5,32.5
plains peoples,-2400,-1,44.1,-102.3
plateau peoples,-2400,-1,47.3,-117.0
plebian secession,-494,-287,42.5,15.0
poland,1990,,50.0,20.0
pontians,-612,-514,42.5,39.0
pontus,-281,-1,41.6,35.0
portugal,1990,,37.5,-20.0
poverty point culture,-2200,-1,32.5,-90.4
praeneste,-360,-341,42.5,15.0
proto-burmese,-2400,-1,29.0,96.6
proto-canaanites,-2400,-1850,32.5,35.8
proto-ethiopians,-2400,-1,10.4,38.2
proto-greeks,-2400,-1224,39.4,21.9
proto-mongol peoples,-2400,-1,50.3,107.9
proto-tibetans,-2400,-1,32.4,85.1
proto-turkic peoples,-2400,-1,40.9,97.5
ptolemaic ally,-315,-313,37.5,27.2
ptolemaic kingdom,-290,-1,34.5,29.7
pu,-770,-678,37.5,112.5
pugu,-1036,-1026,37.5,117.5
pulinda,-610,-320,22.5,80.0
pundra,-610,-312,24.9,87.5
punt,-2400,-1100,16.2,41.8
qatar,1990,,25.0,52.5
qedarite confederation,-870,-550,31.1,41.2
qedarites,-925,-1,32.1,38.8
qi,-770,-1,36.7,117.0
qi(2),-770,-446,37.5,117.5
qi(3),-770,-706,37.5,117.5
qiang,-771,-1,37.5,100.0
qin,-772,-1,33.9,110.2
qiuyou,-770,-458,37.5,112.5
qu,-770,-678,37.5,112.5
quaman,-770,-612,32.5,110.8
quan,-770,-704,32.5,112.5
quanrong,-2400,-1,35.2,105.5
que,-1180,-588,37.5,35.2
quwo,-746,-678,37.1,112.5
rang,-770,-670,29.9,107.5
rathikas,-322,-300,20.0,72.5
rebel aranzik,-1696,-1690,37.5,37.5
rebel irridu,-1718,-1710,37.5,40.0
rebel israelites,-1098,-1096,32.5,37.5
red di,-770,-594,37.5,112.5
ren,-770,-336,37.5,117.5
revolt,-553,-258,37.2,33.7
revolt of antigonus,-322,-321,37.5,30.0
revolt of antipater,-322,-321,41.3,22.8
revolt of ariobarzanes,-367,-362,40.7,27.5
revolt of artabazus,-356,-353,40.5,27.5
revolt of autophradates,-364,-360,37.5,27.9
revolt of cyrus the younger,-402,-401,37.2,35.5
revolt of datames,-372,-360,39.5,34.7
revolt of eumenes,-320,-320,37.0,35.1
revolt of hermias,-346,-342,37.5,27.5
revolt of hua clan,-522,-520,32.5,117.5
revolt of inaros,-462,-450,31.5,31.5
revolt of khababash,-336,-336,32.5,32.5
revolt of luan,-552,-550,37.5,112.5
revolt of lysimachus,-322,-321,42.5,26.0
revolt of mausolus,-364,-360,37.5,27.5
revolt of orontes,-364,-360,40.1,42.0
revolt of pissuthnes,-420,-416,37.5,28.1
revolt of ptolemy,-322,-321,30.9,32.1
revolt of wangzi tui,-676,-674,34.6,112.5
revolt of wangzi zhao,-520,-516,33.7,112.5
rhegion,-622,-1,38.3,17.1
rhodos,-320,-1,37.5,27.5
roman ally,-308,-1,41.3,14.3
roman latin colony,-496,-1,42.5,14.8
roman republic,-509,-1,41.9,14.8
romania,1990,,45.0,24.0
rong,-770,-594,34.4,115.5
rui,-772,-642,33.7,110.0
ruo,-770,-622,32.5,112.5
ruo'ao revolt,-606,-604,32.5,112.5
russia,1990,,62.5,97.5
rwanda,1990,,-2.5,30.0
saba,-1100,-1,14.5,44.5
sabines,-800,-438,42.5,15.0
sabini,-438,-290,42.5,15.0
saharan peoples,-2400,-1,22.9,8.1
sakas,-750,-1,47.3,72.5
sakya,-750,-480,27.5,82.5
salamis,-411,-380,34.8,32.9
salva,-610,-600,27.5,77.5
salwa,-610,-322,27.5,72.5
sambus,-330,-325,23.2,67.7
samian thalassocracy,-542,-522,37.5,27.1
samnite ally,-326,-304,42.5,15.8
samnite confederation,-438,-268,42.5,15.0
samnites,-800,-438,42.5,15.0
samnium,-500,-438,42.5,15.0
samoa,1990,,-12.5,-172.5
samos,-386,-338,37.5,27.5
san marino,1990,,42.5,15.0
sanxingdui culture,-1700,-1000,31.3,103.6
sardinians,-1250,-510,40.1,8.3
sattagydia,-610,-516,32.5,70.0
sattyaputas,-326,-1,12.5,75.0
saudi arabia,1990,,25.0,45.0
saurashtra,-610,-318,22.5,70.0
sauromatians,-550,-1,46.3,46.7
sauvira,-610,-516,27.5,67.5
savanna peoples,-2400,-1,-20.0,-51.4
savaras,-610,-430,17.5,82.5
scythia,-678,-1,41.9,39.4
scythians,-1201,-1,46.6,58.0
sea peoples,-1233,-1180,35.4,31.4
sealand,-1734,-1438,32.5,45.6
second athenian league,-376,-338,39.1,24.4
seleucid ally,-282,-1,38.5,27.8
seleucid kingdom,-306,-1,35.7,41.9
semitic nomads,-2400,-1000,24.2,47.1
senegal,1990,,15.0,-15.0
seychelles,1990,,-7.5,52.5
shang,-1750,-1104,34.6,114.3
shang dynasty,-1600,-1044,35.8,113.4
shanrong,-771,-282,40.1,117.2
shao,-771,-688,32.5,107.5
shen,-772,-688,33.2,109.7
shen(2),-770,-507,32.5,115.0
shi,-770,-560,34.9,117.5
shimashki,-2400,-1970,29.9,53.0
shinuhtu,-827,-718,37.5,35.0
shu,-1075,-316,30.4,105.7
shu bao,-770,-602,32.5,117.5
shu jiu,-770,-602,32.5,117.5
shu long,-770,-602,32.5,117.5
shu yong,-770,-602,32.5,117.5
shu(2),-770,-616,32.5,117.5
shubria,-735,-674,37.5,42.5
shurparaka,-610,-302,18.5,72.5
sicans,-1450,-409,37.5,13.1
sicelia,-461,-392,37.5,13.4
sicels,-1000,-409,37.5,14.2
sicyon,-656,-446,37.5,22.5
sidicini,-438,-334,42.5,15.0
sierra leone,1990,,10.0,-12.5
sikanoi,-500,-405,37.5,12.5
sikeloi,-500,-440,37.5,15.0
simurrum,-2064,-1600,34.9,47.5
sindhu,-610,-516,27.5,70.0
singapore,1990,,2.5,102.5
sinope,-323,-1,42.5,33.0
sivi,-610,-544,27.5,67.5
slavs,-2050,-1,52.3,26.6
slovakia,1990,,47.5,18.0
slovenia,1990,,47.5,15.0
sogdians,-1700,-532,38.3,68.9
solomon islands,1990,,-10.0,162.5
somalia,1990,,5.0,47.5
song,-770,-286,33.8,116.1
south africa,1990,,-35.0,28.5
south china peoples,-2400,-1,30.2,112.8
south korea,1990,,35.0,127.5
spain,1990,,35.0,-7.0
spratly islands,1990,,10.0,115.0
sri lanka,1990,,7.5,80.0
st. kitts and nevis,1990,,17.5,-62.5
st. lucia,1990,,12.5,-62.5
st. vincent and the grenadines,1990,,12.5,-62.5
stasis,-637,264,37.7,22.2
su,-770,-684,37.5,117.5
subarctic peoples,-2400,-1,59.2,-110.3
subartum,-1742,-1616,37.5,42.5
succession struggle,-817,-268,36.3,88.3
sudan,1990,,12.5,30.0
suhma,-610,-346,22.5,87.5
suhne,-931,-864,37.5,42.5
suhu,-1120,-612,32.5,42.5
sui,-770,-640,32.5,112.5
sui(2),-770,-682,37.5,117.5
surasena,-900,-360,27.5,77.5
suriname,1990,,5.0,-55.0
swaziland,1990,,-27.5,32.5
sweden,1990,,62.5,22.0
switzerland,1990,,47.5,6.0
syracuse,-716,-266,37.9,15.0
syracuse exiles,-316,-306,37.5,13.4
syria,1990,,35.0,40.0
são tomé and príncipe,1990,,0.0,7.5
tabal,-1190,-678,37.5,35.8
taiwan,1990,,25.0,120.0
tajikistan,1990,,40.0,72.5
tan,-770,-473,34.1,117.5
tan(2),-770,-684,37.5,117.5
tanagra,-386,-382,37.5,22.5
tang,-770,-505,32.5,112.5
tanzania,1990,,-7.5,35.0
taras,-500,-380,42.5,15.9
tarhuntassa,-1536,-1200,37.5,32.5
tartessos,-1000,-1,37.5,-6.6
taulanti,-800,-279,41.3,20.9
tauromenion,-288,-268,37.5,17.5
taxila,-338,-326,33.9,72.5
tegea,-423,-1,37.5,22.5
teng,-770,-298,35.4,117.5
terramare culture,-1550,-1250,45.7,9.0
teutons,-2050,-1,56.0,11.7
thai peoples,-2400,-1,28.2,102.4
thailand,1990,,15.0,102.5
the netherlands,1990,,32.5,-33.5
theban ally,-371,-338,38.0,22.4
thebes,-386,-268,38.2,23.4
thespiae,-386,-379,37.5,22.5
thesprotia,-396,-350,37.5,22.5
thesprotians,-500,-431,37.5,22.5
thessaly,-650,-276,38.0,22.3
thrace,-277,-1,42.5,26.0
thracians,-1450,-1,43.6,25.4
thraco cimmerians,-2400,-1450,45.8,31.7
thraikes,-500,-1,42.5,24.0
three guards rebellion,-1042,-1040,35.1,116.4
three yi tribes,-770,-1,27.5,120.0
thyni,-470,-400,42.5,27.0
tian clan,-500,-481,37.5,117.5
tian qi,-481,-1,36.2,117.7
tibur,-388,-341,42.5,15.0
togo,1990,,10.0,0.0
tong,-770,-616,32.5,117.5
tonga,1990,,-20.0,5.0
triballi,-446,-1,42.5,25.3
trigarta,-950,-323,32.5,75.3
trinidad and tobago,1990,,12.5,-62.5
triphylia,-726,-1,37.5,22.5
troezen,-494,-1,37.5,22.5
tuhe,-770,-308,42.5,119.0
tummanna,-1536,-1326,40.3,32.8
tunisia,1990,,35.0,10.0
turkey,1990,,40.0,36.0
turkmenistan,1990,,40.0,59.0
turks and caicos islands,1990,,22.5,-72.5
tuvalu,1990,,-7.5,177.5
tuwana,-827,-636,37.5,35.0
tymphaea,-431,-368,40.1,21.7
tyranny of syracuse,-478,-278,37.4,14.0
uelikukhi,-880,-706,39.9,45.0
uganda,1990,,0.0,32.5
ugrians,-750,-1,62.4,59.7
ukraine,1990,,47.5,29.0
umbri,-800,-308,42.5,15.0
umbria,-438,-266,42.5,14.0
umbrii,-500,-438,42.5,15.0
umma,-2395,-2310,32.5,47.5
united arab emirates,1990,,25.0,55.0
united kingdom,1990,,2.5,-30.0
ur iii tributary,-2108,-2019,33.2,47.8
urartu,-935,-592,38.9,44.0
urartu tributary,-802,-715,39.9,42.3
uruguay,1990,,-35.0,-55.0
usinara,-610,-354,29.4,77.5
utica,-950,-948,37.5,10.0
utkala,-610,-346,21.2,87.5
uzbekistan,1990,,42.5,66.0
vajjika league,-610,-468,27.5,85.4
valdivia culture,-2400,-1700,-2.5,-82.5
vanga,-675,-312,22.5,91.2
vanuatu,1990,,-17.5,170.0
vatsa,-875,-492,26.5,81.5
vemaka,-450,-1,32.5,77.5
veneti,-800,-1,47.5,12.0
venezuela,1990,,7.5,-65.0
vestini,-438,-302,42.5,15.0
vidarbha,-700,-302,21.0,78.9
videha,-800,-610,27.5,85.0
vietnam,1990,,15.0,105.0
vitihotras,-400,-350,22.5,73.5
volga battle axe culture,-2050,-1250,56.2,44.1
volsci,-800,-341,42.5,15.0
vriji,-700,-610,27.5,85.0
wahsusana,-1776,-1626,37.5,32.5
wei,-1750,-1,35.4,113.6
wei clan,-500,-453,37.5,112.5
wen,-1750,-1606,32.5,112.5
west african peoples,-2400,-1,11.4,-1.2
western guo,-772,-656,34.3,112.5
western mediterraneans,-2400,-1,44.1,2.8
western odrysia,-360,-352,42.5,24.0
western rong,-771,-362,34.9,105.0
wey,-770,-1,36.4,114.9
white di,-770,-408,37.5,110.0
wilusa,-1536,-1206,39.9,27.3
wu,-1200,-470,32.0,119.2
wucheng culture,-1450,-958,30.7,115.1
wushi rong,-771,-314,37.5,107.5
wuzhong,-770,-456,38.9,116.2
xi,-770,-680,32.5,114.5
xia dynasty,-2035,-1600,34.9,112.5
xian,-770,-656,32.5,112.5
xian peoples,-1424,-1414,32.5,107.5
xiang,-770,-722,37.5,117.5
xiang(2),-770,-644,32.5,117.5
xianyu,-771,-506,37.5,113.6
xiao,-500,-496,32.5,117.5
xing,-770,-636,37.5,115.4
xirong,-770,-690,32.5,112.5
xu,-946,-512,31.5,115.7
xu(2),-770,-372,32.5,112.5
xue,-1750,-336,35.9,118.4
xun,-770,-684,37.5,112.5
xuqu,-770,-620,37.5,117.5
yaminites,-1770,-1768,37.5,42.5
yamkhad,-2004,-1544,37.0,39.0
yan,-770,-1,38.5,120.7
yan(2),-770,-764,32.5,112.5
yan(3),-770,-680,32.5,120.0
yang,-770,-678,37.5,112.5
yang(2),-770,-660,37.5,117.5
yangyue,-770,-500,27.5,115.0
yaudheya,-550,-322,29.1,75.0
yemen,1990,,15.0,47.5
yi,-770,-660,37.5,122.5
yi-luo rong,-770,-588,32.5,112.5
yihu,-770,-492,32.5,117.5
ying,-770,-678,32.5,112.5
yingshi,-770,-646,32.5,117.5
yiqu,-771,-272,35.8,107.5
yong,-770,-612,32.5,110.0
yu,-770,-656,34.9,112.5
yu(2),-770,-612,32.5,110.0
yu(3),-770,-524,37.5,117.5
yue,-770,-306,30.7,121.9
yue peoples,-1200,-504,27.9,118.8
yueshi culture,-1900,-1500,36.8,119.6
yuezhi,-2400,-1,42.5,82.9
yugoslavia,1990,,45.0,21.0
yun,-770,-700,32.5,112.5
yuqui,-770,-692,32.5,117.5
zabakhi,-880,-592,42.5,45.0
zahara,-2400,-2206,30.8,52.1
zaire,1990,,-2.5,22.5
zalmaqum,-1778,-1616,37.5,40.0
zambia,1990,,-12.5,27.5
zamua,-882,-880,37.5,44.2
zapotecs,-1400,-1,17.5,-97.5
zeng,-772,-678,32.5,112.5
zeng(2),-770,-568,34.9,117.5
zhang,-770,-664,37.5,117.5
zhangzhung,-500,-1,33.2,81.7
zhao,-453,-1,38.2,114.0
zhao clan,-500,-453,37.5,112.5
zhen,-770,-700,32.5,112.5
zheng,-770,-376,33.0,113.0
zhi clan,-500,-454,37.5,112.5
zhonghang clan,-500,-490,37.5,113.5
zhongli,-770,-560,32.5,117.5
zhongshan,-506,-296,37.5,113.5
zhongwu,-770,-512,32.5,117.5
zhou,-1126,-1046,34.7,110.0
zhou dynasty,-1046,-1,34.2,113.2
zhou(2),-770,-700,29.9,112.5
zhou(3),-770,-706,37.5,117.5
zhoulai,-770,-600,32.5,117.5
zhu,-770,-256,36.8,117.5
zhu(2),-770,-518,37.5,117.5
zhu(3),-770,-768,37.5,117.5
zhuan,-770,-586,32.5,117.5
zhuanyu,-770,-484,37.5,117.5
zimbabwe,1990,,-20.0,30.0
zippasla,-1422,-1396,37.0,31.1
zong,-770,-616,32.5,117.5
zuo,-770,-750,34.9,112.5
