RefName,Lon,Lat,FromYear,ToYear
Ziklag,34.68075,31.39057,-2200,-350
Arsa,34.44472,31.3875,-2000,-375
Thala,34.86447,31.38102,-2400,1000
(Tel 'Ira),34.97368,31.24859,-2400,1000
Aboukir,30.05112,31.30418,-2400,
Pi-Ramesses,31.82137,30.78742,-1783,-1000
Leontopolis,31.38794,30.76045,-1600,640
Ausim,31.13854,30.1435,-2400,
Heliopolis,31.28889,30.12953,-2400,1000
Terenuthis,30.83007,30.42938,-1850,640
Anthribis,31.17546,30.46328,-2400,640
Bubastis,31.51,30.57278,-2400,650
Gynaekopolis?/Momemphis,30.62123,30.79435,-2400,640
Sais,30.76833,30.96472,-2400,640
Busiris,31.24444,30.91111,-2400,640
Sebennytos,31.26003,30.98508,-2400,640
Mendes,31.51583,30.95833,-2400,
Sakha,30.95921,31.02599,-2400,
Buto,30.74472,31.19639,-2400,640
Tura,31.26042,30.00226,-2400,
Tanis,31.88,30.976944,-1150,550
Beersheba,34.799708,31.249772,-1175,
Citium,33.635714,34.932127,-1250,342
Yavne,34.738425,31.876462,-1000,
Iamneia Paralios,34.696549,31.929643,-1200,1150
Rafah,34.242503,31.290688,-1350,
al-Farama,32.600128,31.049917,-2400,1516
Naukratis,30.591928,30.900508,-630,540
Tahpanhes,32.171531,30.860655,-650,-450
Amathous,33.137081,34.712264,-1100,700
Kourion,32.883723,34.666227,-1250,650
Limassol,33.039628,34.67624,-850,
(Alassa),32.9275,34.764167,-1300,-1100
Paphos,32.406593,34.757212,-320,
Hebron,35.095,31.53333,-2400,1600
Jerusalem,35.2328,31.7887,-2400,
Jericho,35.46218,31.85544,-2400,-586
Amman,35.93278,31.94972,-2400,
Shechem,35.2875,32.2225,-1900,-107
Baysan,35.5,32.50395,-2400,1100
Megiddo,35.18056,32.57889,-2400,-332
Philoteria,35.57186,32.71796,-2400,640
Akko,35.08167,32.92778,-2000,1918
Hazor,35.56905,33.01824,-2400,-250
Dan,35.652,33.249,-2400,350
Damascus,36.292,33.513,-2400,
Sayda,35.37348,33.56271,-2400,
Kumidi,35.816,33.616,-2400,550
Jubail,35.65111,34.12361,-2400,
Tadmor (Palmyra),38.27945,34.56109,-2100,
Qatna,36.86583,34.835,-2400,-600
Beirut,35.51306,33.88694,-2400,
es-Sur,35.1964,33.27254,-2400,
Rouad,35.86207,34.85989,-2200,
Arqa,36.04583,34.53056,-2400,
Amrit,35.91185,34.82712,-2100,-330
Castle Umberti,35.10506,33.05107,-2000,1290
Kabrita,35.13908,33.00838,-2000,300
Achshaph?,35.17635,32.87542,-2400,-100
Gennesar,35.5302,32.86102,-2400,550
Shihor-Libna(t)h?,35.0192,32.8008,-1550,-330
(Tel 'Ein-Zippori),35.306,32.7332,-1550,-850
(Tell Yin 'am),35.487,32.7068,-2200,300
Yokneam,35.2072,32.64834,-2400,1600
Kadasa,35.52952,33.11164,-2000,550
Tha'anach,35.2139,32.47345,-1750,1750
Tabaqat Fahl,35.61364,32.46102,-2400,
Dothan,35.23986,32.41353,-2400,-721
Tizrah,35.3378,32.28739,-1900,-610
Zarethan,35.57656,32.27571,-2400,-721
Silo,35.28647,32.05989,-1750,700
(Tell el-Umeiri West),35.87214,32.01786,-1750,120
(Tell Safut),35.92597,31.99584,-1750,550
Beitin,35.23817,31.92834,-2400,
el-Jib,35.18808,31.85198,-2200,999
Tell Iktanu,35.66667,31.81667,-2200,
Bethsoura,35.093,31.58621,-1750,-100
Dhiban,35.78336,31.49944,-2400,
Lehun,35.85205,31.50441,-2400,-539
Aroer,35.80449,31.45903,-2300,-582
(Bab edh-Dhra),35.53418,31.25393,-2400,-2000
Laodicea ad Libanum,36.50714,34.55706,-2400,550
Ullassa,35.851,34.4424,-1600,-1150
