RefName,Lon,Lat,FromYear,ToYear
Lapethos,33.20211,35.350592,-2400,655
Politiko,33.24443,35.029628,-1800,
Nicosia,33.3473,35.157167,-2400,
Idalion,33.42377,35.015737,-1200,100
Chyt(h)roi,33.49069,35.245772,-1150,912
Salamis/Konstantia,33.90305,35.17995,-1080,653
Vouni,32.77299,35.156326,-500,-380
Makaria,33.65723,35.3622,-1175,650
Karpasia,34.36993,35.626206,-700,650
Aspendos,31.17,36.939024,-750,1050
Sagalassos,30.51416,37.672887,-1350,680
Apamea,30.1689,38.068367,-650,1500
Ankara,32.85933,39.943793,-2100,
Suhut,30.54613,38.533961,-725,
Sarhuyok,30.51684,39.77489,-2400,1350
Pessinus,31.58356,39.332882,-400,715
Tavium,34.51833,39.85833,-1500,800
Hama,36.74199,35.14463,-2400,
Ugarit,35.782,35.602,-2400,-1000
Bersiba,38.1223,36.69718,-2400,550
Ebla,36.798,35.798,-2400,650
Posideion,35.838,35.846,-1600,640
Barbalissus,38.10934,35.99096,-2400,750
Alep,37.14566,36.21695,-2400,
Alalah,36.38472,36.23778,-2400,-1195
Europos,38.015,36.82972,-2400,550
Harran,39.03389,36.8775,-2400,850
(Tille),38.89047,37.75254,-2400,-550
Melitene,38.36494,38.42486,-2400,500
Anisa,35.60725,38.84972,-2400,250
Ankuwa?,35.26139,39.43944,-2400,-600
Apishal?,37.36194,36.51444,-2400,-1200
Eragiza,38.07659,36.19435,-2400,550
(Tell Habuba Kabira),38.12765,36.09125,-2400,-1800
Abattum?,38.50553,35.74274,-2025,-1500
Lasqum,39.87782,35.44402,-2050,-1550
Ariseria,37.58873,36.87571,-2400,550
Tuttul,38.97071,35.96158,-2400,-1700
Tuba,37.6897,36.1599,-2400,550
Sam'al,36.6786,37.1036,-2400,-675
?anl?ufa,38.7938,37.1568,-2400,
Kayseri,35.4833,38.7333,-2400,
Gaziantep,37.3833,37.0667,-2400,
Samsat,38.5165,37.5288,-2400,1989
Adana,35.3305,36.991,-2400,
?ar,36.3237,38.3331,-2000,
G r n,37.2775,38.7225,-2000,
Kussara,36.02585,38.5203,-2050,-1150
Lawazantiya,35.75,37.0,-1900,-1200
Irradu,38.5279,36.891,-1900,-1250
Zalpa/Zalbar,36.70417,37.03,-2000,-1500
Hassuwa,37.8241,37.2892,-2400,-1500
Samuha,37.4465,39.8794,-1700,-1180
Sarissa,36.90972,39.30833,-1550,-1050
Tunip,36.3978,35.2869,-1800,-1150
Hostra,38.906111,37.050278,-1000,250
Tell Rifa'at,37.097222,36.473333,-1000,
Azatiwataya,36.247601,37.258801,-1000,-500
Tell Qarqur,36.330556,35.742778,-2400,
Muru,36.852083,36.459361,-1300,-740
Gephyra,36.376389,36.2475,-1150,640
Potamoi Karon?,35.973533,36.061425,-810,-312
Palu,39.951111,38.703889,-2400,
Hazrek,36.798611,35.905,-1150,-680
Masyaf,36.339563,35.070199,-850,
Kahramanmarash,36.925326,37.586682,-1200,
Selevcia,35.928596,36.121265,-550,640
Antioch,36.183214,36.222552,-300,1500
Latikia,35.77663,35.518923,-1000,
Afamiya,36.402413,35.421377,-321,1152
Nuzi,44.25838,35.36471,-2400,250
Kirkuk,44.39227,35.47285,-2400,
Magdalu,40.74028,35.64333,-2400,200
Nimrud,43.3275,36.09917,-2400,
Kilizu,43.72961,36.10181,-1850,350
Arbil/Erbil,44.00639,36.19111,-2400,
Shusharra,44.93835,36.20071,-2100,1400
Zamahu,42.44934,36.25709,-2400,-600
Qattara,42.49315,36.20742,-2100,-1100
Thebat(h)a,40.79832,36.33484,-2100,550
Nineveh,43.15278,36.35944,-2400,
Ashur,43.2625,35.45667,-2400,270
(Tell Bezari),40.80056,36.59276,-2400,550
Nabula,41.05833,36.66722,-2400,400
Nabada,40.58694,36.73778,-2400,-200
Kahat,40.14124,37.74389,-2400,1260
Taidu (1),41.33708,36.82805,-2400,200
Ra's al-'Ayn,40.07303,37.84389,-2100,
(Tell Arbid),41.02156,36.87236,-2300,450
Shubat-Enlil,41.50528,36.95722,-2400,-1728
Urkesh,40.99722,37.05694,-2400,-1350
(Haftavan Tepe),44.75931,38.17647,-2200,550
Elallate,43.263,35.51077,-2100,-600
Allahad,42.01583,36.06636,-2000,-1600
Andarig,41.70756,36.07466,-2000,-1300
Kurda,41.71241,36.21143,-2000,-1500
Sangaritu,40.5839,35.054,-2400,-600
Qattunan,40.9319,35.834,-2200,-1200
Ashnakkum,40.535,36.523,-2400,-1500
Dur-Yahdun-Lim,40.16621,35.17849,-1805,-1550
Razama,42.7465,35.7921,-1900,-1500
Tidu,40.54,37.825,-1600,-330
Tell Halaf,40.04,36.824,-1150,
Nusaybin,41.215694,37.075333,-1200,
Gidara/Raqamatu,40.1141,37.1869,-1125,-700
Apqu,42.601124,36.321267,-1180,-500
Al-Busayra,40.430045,35.156614,-1000,
Tushha,40.793056,37.793611,-2400,1000
Diyarbakir,40.233444,37.912245,-1300,
Van,43.341667,38.499722,-2000,
Arzashkun,42.5371,39.1594,-1200,-700
Mush,41.4911,38.7333,-950,
Ardini,44.8362,36.9007,-1200,-700
Sarduri(k)hinili,43.4594,38.3524,-740,-680
Dur-Sharrukin,43.2293,36.5095,-718,-600
Rusa-patari,44.95,38.8833,-660,-580
Uasi?,44.8954,37.6569,-796,-570
(Verahram Qal'eh),44.8557,39.4842,-788,-565
Menuahinili,44.2564,39.9394,-784,-560
(Kayalidere),41.5781,39.065,-734,-714
Rusahinili Qilbanikai,43.4039,38.5206,-720,-610
Rusahinili Eidurukai,43.2133,38.7025,-672,-610
Khaldi Ziuquni,42.7469,38.8058,-668,-605
Malazgirt,42.5442,39.1478,-802,
(Hasanlu tepe),45.45889,37.00472,-2400,1000
Hamazi,45.6897,35.2035,-2400,-1800
Qabra,45.34086,35.73568,-2000,-1200
Bakr Awa,45.940556,35.220556,-2400,
Qalatgah,45.247586,37.026732,-800,-30
(Livar),45.6675,38.5449,-696,-590
(Evoghlu),45.2056,38.7014,-808,-585
(Seqindel),46.6404,38.5097,-700,-595
(Qalatgah),45.2476,37.0267,-814,-575
Reyy,51.44716,35.59427,-625,
Qumis,54.03829,35.96109,-625,
Zadracarta,53.0589,36.56145,-601,-601
Zadrakarta,54.41951,36.8128,-601,1000
Tus/Sousia,59.54046,36.46471,-650,1600
Merv,62.1925,37.66278,-2100,
Balkh,66.9011,36.76794,-1750,
Kunduz,68.86774,36.72209,-1500,
Samarkand,66.94722,39.6565,-700,
Shahrisabz,66.82551,39.04603,-750,
Hei & Luan,107.425833,35.061944,-1120,-771
Rui,109.814,35.275,-800,-100
Taosi,111.498611,35.881944,-2400,-1900
Yin,114.303056,36.139444,-2400,-900
Changzhi,113.116944,36.195,-1500,-1035
Qinyang,112.951111,35.088056,-1075,
Zhaoge,114.303056,35.689444,-1150,-1
Huozhou,111.755556,36.569306,-1045,
Houma,111.4,35.7276,-1045,
Hancheng,110.4333,35.4667,-800,
Yi,111.7189,35.7397,-800,-200
Taiyuan,112.5497,37.8703,-498,-248
Handan,114.4869,36.6011,-1800,
Yan,116.05,39.6153,-1045,-990
Beijing,116.3833,39.9167,-1045,
Taoqui,115.5911,35.1425,-1045,-400
Linzi,118.3554,36.8829,-1045,-1
Qufu,117.0333,35.6,-1045,
Tengzhou,117.15,35.0833,-1045,
Zoucheng,117.0069,35.4031,-1045,
Ju,118.8336,35.5769,-1050,1000
Jimo,120.4667,36.3833,-1040,
Cadiz,-6.293121,36.529278,-1104,
Lixus,-6.11029,35.199267,-1102,650
Carteia,-5.409391,36.185191,-940,1000
Huelva,-6.949713,37.257074,-863,
Tangier,-5.810233,35.787546,-925,
Carmona,-5.646469,37.470304,-800,
Ceuta,-5.316583,35.888245,-950,
Tavira,-7.649884,37.125796,-950,
Lisbon,-9.135507,38.707166,-900,
Melila,-2.938778,35.292201,-1150,
(El Argar),-1.91755,37.252183,-1800,-1450
Malaga,-4.420163,36.719658,-770,
Abdera (Iberia),-3.022514,36.748068,-750,640
Almunecar,-3.690755,36.734589,-800,
Portus Magnus,-0.266018,35.807917,-700,700
Mers el Kebir,-0.637317,35.705063,-750,
Siga,-1.451733,35.252924,-750,700
Mainake,-4.094288,36.741931,-600,-350
Baria,-1.774899,37.245407,-610,-209
Mastia,-1.229486,37.613798,-800,-227
Marseille,5.3825,43.29685,-600,
Empuries,3.11455,42.13342,-600,1200
Agda,3.47313,43.30583,-526,
Tarquinia,11.758173,42.254532,-900,
Arezzo,11.863,43.4713,-875,
Chiusi,11.9487,43.0164,-885,
Cortona,11.9878,43.2741,-950,
Populonia,10.4899,42.9884,-900,570
Vetulonium,10.9719,42.8594,-885,540
Volterra,10.8601,43.4016,-780,
Vulci,11.6299,42.419,-850,750
Aleria,9.5113,42.1023,-566,550
Prygi,11.9632,42.0153,-890,100
Bologna,11.3455,44.4946,-535,
Roselle,11.16,42.8277,-650,935
Cosa,11.2885,42.4113,-274,600
Castrum Novum,11.8335,42.0353,-264,600
Olbia,9.5004,40.923,-600,
Cerveteri,12.1028,42.0048,-870,
Purugia,12.3899,43.1112,-970,
Veii,12.3905,42.0213,-890,500
Orvieto,12.1116,42.7164,-850,
Rome,12.4861,41.8918,-754,
Cumae,14.0557,40.848,-726,1207
Taranto,17.237146,40.47094,-706,
Siris,16.5414,40.149,-664,-530
Metapontum,16.8241,40.3839,-660,100
Fidenae,12.5154,41.9821,-730,100
Alba Longa,12.6505,41.7464,-850,-660
Policastro Bussentino,15.5118,40.0839,-634,
Ostia,12.2877,41.7549,-630,850
Velletri,12.7772,41.6874,-725,
Pesto,15.0053,40.4206,-618,1150
Korcula,17.1356,42.9605,-598,
Apiolae,12.375,41.875,-700,-330
Collatia,12.6671,41.9252,-780,-30
Corniculum,12.7428,42.0235,-730,540
Ficulea,12.6191,41.9967,-710,540
Crustumerium,12.5501,42.0151,-770,-330
Mentana,12.6424,42.0324,-760,
Velia,15.1562,40.1605,-540,300
Puzzuoli,14.1217,40.8258,-532,
Tusculum,12.7103,41.7983,-800,500
Gabii,12.7197,41.8874,-865,300
Suessa Pometia,12.8264,41.5944,-735,-502
Ardea,12.547,41.6094,-760,
Ariccia,12.6733,41.7214,-805,
Lanuvio,12.6976,41.6747,-820,
Pratica di Mare,12.4807,41.6645,-795,
Cori,12.9157,41.6426,-785,
Tivoli,12.7982,41.9636,-870,
Capua,14.2502,41.0861,-600,840
Signi,13.0222,41.6915,-520,
Circeii,13.0349,41.2521,-514,-30
Spina,12.1082,44.6976,-526,589
Palestina,12.8923,41.8395,-750,
Labicum,12.7432,41.8204,-730,-300
Pedum,12.7953,41.8811,-725,-200
Antium,12.629,41.448,-800,950
Norba,12.9602,41.5916,-492,-82
Ceglie Messapica,17.5144,40.6463,-775,
Oria,17.6423,40.4978,-800,
Manduria,17.6364,40.3977,-725,
Naples,14.2529,40.84,-850,
Brindisi,17.9429,40.6387,-750,
Heraclea Lucania,16.6704,40.2197,-438,530
Falerii,12.4217,42.2988,-780,-235
Capena,12.5417,42.1427,-780,-235
Terracina,13.2489,41.2912,-700,
Satricum,12.7464,41.5196,-520,-346
Nepi,12.3466,42.2441,-750,
Sutri,12.2205,42.2428,-700,
Ancona,13.5161,43.619,-386,
Stari Grad (Croatia),16.601,43.1843,-385,
Zadar,15.2238,44.1155,-850,
Sezze,13.0589,41.4987,-450,
Ferentino,13.2534,41.6927,-500,
Privernum,13.1851,41.4908,-550,550
Sora,13.6141,41.7157,-530,
Saticula,14.5013,41.0909,-530,-100
Suessula,14.3986,40.9901,-530,-100
Avella,14.6004,40.9651,-530,450
Nola,14.5245,40.9268,-580,
Caudium,14.6368,41.0626,-525,900
Cales,14.1321,41.2,-575,
Teano,14.0701,41.2503,-545,
Cassino,13.8306,41.4929,-650,
Alfidena,14.1082,41.7843,-435,
Lucera,15.3355,41.5086,-790,
Ascoli Satriano,15.5625,41.2071,-750,
Corfinio,13.9257,42.0468,-600,
Chiete,14.1672,42.3518,-680,
Fregellae,13.5389,41.5367,-850,-125
Nocera,14.6739,40.7431,-600,
Casoli,14.2764,42.1271,-615,
Acerra,14.3712,40.9461,-610,
Fondi,13.4279,41.3574,-790,
Ferento,12.1322,42.4886,-750,1172
Canosa,16.0656,41.2214,-600,
Civitate,15.2613,41.7394,-650,550
Arpi,15.5554,41.4757,-800,-100
Bojano,14.4739,41.4867,-650,1913
Benevento,14.7812,41.1304,-850,
Sessa Aurunca,13.9322,41.2383,-750,
Calatia,14.3562,41.0443,-600,250
Atina,13.7972,41.6207,-575,
Interamna Lirenas,13.7539,41.4277,-312,275
Camerino,13.0688,43.1404,-575,
Pompeii,14.4854,40.7494,-590,80
Ocriculum,12.4666,42.4127,-500,587
Alatri,13.344,41.7248,-1050,
Veroli,13.4173,41.6905,-550,
Anagni,13.159,41.7422,-700,
Alba Fucens,13.4112,42.0799,-500,950
Narni,12.5157,42.5188,-750,
Carsoli,13.0655,42.089,-298,1250
Potenza,15.8017,40.6376,-450,1250
Minturnae,13.7684,41.2422,-530,900
Sinuessa,13.8448,41.1523,-296,550
Venosa,15.8273,40.9689,-800,
Atria,13.9811,42.5802,-288,
Senigallia,13.218,43.715,-283,
Rimini,12.5632,44.059,-268,
Isernia,14.2324,41.5963,-450,
Fermo,13.7168,43.1611,-268,
Veles,21.9482,41.8701,-800,
Stobi,21.9744,41.5523,-740,1000
Stip,22.1934,41.7307,-700,
Methone (Thrace),22.5836,40.4674,-735,-354
Ouranopolis,23.9348,40.3636,-656,
Ierissos,23.8801,40.3998,-656,
Stagira,23.7939,40.5926,-656,
Aigai,22.3197,40.483,-650,150
Olynthus,23.3484,40.2946,-650,-348
Galepsus,23.986,40.7404,-632,300
Durres,19.4474,41.3163,-628,
Kassandreia,23.34,40.1912,-604,540
Apollonia (Illyria),19.46288,40.73392,-594,600
Chrysopolis?,23.87285,40.78932,-700,1400
Thronion (Illyria),19.4258,40.5117,-650,-490
Amphipolis,23.84158,40.82581,-438,800
Aiane,21.82099,40.16516,-550,-10
Argos Orestiko,21.24416,40.47374,-550,
Arnisa,21.70042,40.64582,-600,
Stuberra,21.3975,41.24361,-500,550
Sofia,23.34289,42.72283,-550,
Pydna,22.61726,40.39757,-650,
Therme,22.94402,40.58155,-610,-100
Spartolos,23.15984,40.31635,-600,-250
Lezhe,19.64392,41.78294,-750,
Pella,22.51822,40.75436,-400,350
Anthemous,23.28433,40.41772,-550,550
Thessaloniki,22.95289,40.62834,-316,
Barat,19.94971,40.69978,-314,
Astacus,29.9288,40.7146,-712,-286
Parium,27.0691,40.4205,-709,1450
Cyzicus,27.883191,40.385565,-700,1500
Silivri,28.2477,41.0785,-680,
Kadikoy,29.0258,40.9834,-686,
Istanbul,28.9847,41.0153,-668,
Abydos,26.4091,40.1951,-666,1315
Histria,28.7748,44.5476,-658,680
Maroneia,25.5114,40.8738,-656,
Lampsacus,26.6992,40.3467,-654,1400
Abdera,24.9796,40.9395,-666,300
Thasos,24.7106,40.7798,-652,
Stryme,25.2823,40.9366,-646,-348
Kavala,24.414,40.9343,-640,
Emathia,24.3009,40.8289,-636,500
Prusias ad Mare,29.1564,40.4325,-628,1600
Sozopol,27.6943,42.4204,-610,
Eregli,27.953,40.971,-602,
Sestos,26.3886,40.2129,-900,1500
Lysimacheia,26.7508,40.5482,-558,330
Samothrace,25.534,40.5048,-542,1913
Doriskos,26.164,40.8736,-513,-300
Nesebar,27.7244,42.6596,-1000,
Enez,26.0857,40.7249,-1200,
Dascylium,28.0507,40.1325,-800,800
Philippi,24.2846,41.0127,-360,1390
Plovdiv,24.7495,42.1456,-1275,
Stara Zagora,25.6249,42.4254,-500,
Varna,27.9135,43.2062,-570,
Edirne,26.5629,41.6765,-550,
Seuthopolis,25.3629,42.6123,-325,-280
Mangalia,28.5828,43.8172,-550,
Tylis,25.5469,42.574,-277,-212
Izmit,29.9199,40.7652,-264,
Hattusa,34.61528,40.01972,-2000,250
Arinna,34.69556,40.23444,-2400,1600
Zalpa,35.83275,41.668,-2000,-1500
Tabigga/Tabikka,35.7622,40.1483,-2100,-600
Sapinuwa,35.25,40.2667,-1700,-1210
Nerik,35.42948,41.20772,-2100,-1200
Hakpis(sa),35.6362,40.6337,-1700,-1200
Sanahuitta,35.6414,40.359,-1750,-1350
Sinop,35.143037,42.025776,-764,
Karadeniz Eregli,31.414722,41.284722,-560,
Amasra,32.38565,41.746969,-540,
Tios,32.03151,41.571174,-540,860
Trabzon,39.723312,41.004269,-756,
Samson,36.3313,41.292721,-564,
Ordu,37.870358,40.998428,-730,
Erevan,44.5381,40.1406,-782,
Gavar,45.126667,40.358889,-1200,
Teishebaini,44.453366,40.153888,-660,-590
Istaravshan,69.261977,40.13536,-536,
Tabigga/Tabikka,35.76222,40.14833,-2100,-600
Sapinuwa,35.25,40.26667,-1700,-1210
Mantua,10.797602,45.160646,-520,
Padua,11.876975,45.409561,-950,
Adria,12.056195,45.0577,-530,
Borysthenes/Olbia,31.901597,46.691895,-648,390
Feodosiya,35.378768,45.04609,-546,
Kerch,36.470222,45.353262,-604,
Phanagoria,36.960937,45.276617,-544,1360
Nymphaeum,36.417274,45.236481,-570,375
Matracha,36.712664,45.215263,-588,1400
Kimmerikon,36.22459,45.042315,-588,700
